phase,A1_actionId,C_actionId,n_context,A1_spinId,C_spinId,EV,count,train_winrate,usage_rate
front3,0,10,636,4,3,0.33198205008249837,6,0.6666666666666666,0.009433962264150943
front3,0,10,636,4,4,0.4820689052852861,3,0.3333333333333333,0.0047169811320754715
front3,0,10,636,4,5,0.5960887689290003,2,1.0,0.0031446540880503146
front3,0,11,636,4,2,0.4465550696637245,4,0.75,0.006289308176100629
front3,0,11,636,4,3,0.34857433926799086,5,0.2,0.007861635220125786
front3,0,12,636,4,1,0.47131427978023904,1,1.0,0.0015723270440251573
front3,0,12,636,4,2,0.4679345616132763,27,0.37037037037037035,0.04245283018867924
front3,0,12,636,4,4,0.543663309268749,2,0.5,0.0031446540880503146
front3,0,12,636,4,5,0.6516927634088753,1,0.0,0.0015723270440251573
front3,0,13,636,4,0,0.001194765675308083,4,0.0,0.006289308176100629
front3,0,13,636,4,1,0.34567649096538744,32,0.25,0.050314465408805034
front3,0,13,636,4,2,0.3391539798172604,2,0.5,0.0031446540880503146
front3,0,13,636,4,3,0.27990438087957653,46,0.2608695652173913,0.07232704402515723
front3,0,14,636,4,0,0.0008585332809899847,1,0.0,0.0015723270440251573
front3,0,14,636,4,1,0.2541807527926205,2,0.5,0.0031446540880503146
front3,0,14,636,4,3,0.2507593679557616,2,0.5,0.0031446540880503146
front3,0,1,1414,5,0,0.0014049720406585234,3,0.0,0.0021216407355021216
front3,0,1,1414,5,1,0.5578671557964527,362,0.5994475138121547,0.256011315417256
front3,0,1,1414,5,2,0.516789979777146,1,1.0,0.0007072135785007072
front3,0,1,1414,5,3,0.5474681377629114,2,0.5,0.0014144271570014145
front3,0,2,1414,5,0,0.0013627230611973136,1,0.0,0.0007072135785007072
front3,0,2,1414,5,1,0.5321625259216821,243,0.49794238683127573,0.17185289957567185
front3,0,2,1414,5,3,0.5220777599273323,3,0.6666666666666666,0.0021216407355021216
front3,0,3,1414,5,0,0.0016174894749996906,1,0.0,0.0007072135785007072
front3,0,3,1414,5,1,0.597223626108607,4,0.75,0.002828854314002829
front3,0,3,1414,5,3,0.6367793371180935,8,0.75,0.005657708628005658
front3,0,4,1414,5,1,0.5754864770773972,38,0.5789473684210527,0.026874115983026876
front3,0,5,1414,5,0,0.001586122327140669,1,0.0,0.0007072135785007072
front3,0,5,1414,5,1,0.5734742272277477,48,0.6458333333333334,0.033946251768033946
front3,0,5,1414,5,3,0.575954883490023,1,1.0,0.0007072135785007072
front3,0,6,1414,5,0,0.0014753143804759573,1,0.0,0.0007072135785007072
front3,0,6,1414,5,1,0.5477846782373353,82,0.43902439024390244,0.05799151343705799
front3,0,6,1414,5,3,0.5861153972008315,39,0.717948717948718,0.027581329561527583
front3,0,7,1414,5,0,0.0013497152104009304,1,0.0,0.0007072135785007072
front3,0,7,1414,5,1,0.5034606948136933,23,0.4782608695652174,0.016265912305516265
front3,0,7,1414,5,2,0.5102485312488128,2,0.5,0.0014144271570014145
front3,0,7,1414,5,3,0.4936168304957402,6,0.5,0.004243281471004243
front3,0,8,1414,5,1,0.44123085342738555,3,0.6666666666666666,0.0021216407355021216
front3,0,8,1414,5,2,0.4522841625740617,3,0.3333333333333333,0.0021216407355021216
front3,0,8,1414,5,3,0.42962105851975857,1,1.0,0.0007072135785007072
front3,0,9,1414,5,2,0.46322349726068957,1,0.0,0.0007072135785007072
front3,0,10,1414,5,0,0.0012604332215155399,3,0.0,0.0021216407355021216
front3,0,10,1414,5,1,0.44972321242928487,2,0.5,0.0014144271570014145
front3,0,10,1414,5,2,0.45223202872537777,226,0.4690265486725664,0.15983026874115983
front3,0,10,1414,5,3,0.3776762368238163,20,0.35,0.014144271570014143
front3,0,10,1414,5,4,0.5548025680808455,2,0.5,0.0014144271570014145
front3,0,10,1414,5,5,0.678399096787021,9,0.6666666666666666,0.006364922206506365
front3,0,11,1414,5,0,0.0013494765406184064,1,0.0,0.0007072135785007072
front3,0,11,1414,5,1,0.4767154044867202,2,0.0,0.0014144271570014145
front3,0,11,1414,5,2,0.47865334344308863,81,0.48148148148148145,0.057284299858557285
front3,0,11,1414,5,3,0.3871493950131995,18,0.2222222222222222,0.01272984441301273
front3,0,11,1414,5,4,0.5579026549842109,1,0.0,0.0007072135785007072
front3,0,11,1414,5,5,0.6790552679550022,1,1.0,0.0007072135785007072
front3,0,12,1414,5,2,0.5204673451401268,49,0.5714285714285714,0.034653465346534656
front3,0,12,1414,5,3,0.45783090122197284,3,0.6666666666666666,0.0021216407355021216
front3,0,12,1414,5,5,0.730255677690503,5,0.8,0.003536067892503536
front3,0,13,1414,5,0,0.0013441565481479812,1,0.0,0.0007072135785007072
front3,0,13,1414,5,1,0.40874839499418175,47,0.3617021276595745,0.03323903818953324
front3,0,13,1414,5,2,0.40530318027024065,1,0.0,0.0007072135785007072
front3,0,13,1414,5,3,0.3446954059163216,63,0.3333333333333333,0.04455445544554455
front3,0,14,1414,5,1,0.29128438913648874,1,0.0,0.0007072135785007072
front3,15,1,101,1,1,0.5576673795925607,33,0.5454545454545454,0.32673267326732675
front3,15,2,101,1,1,0.5534911466545029,18,0.5555555555555556,0.1782178217821782
front3,15,5,101,1,1,0.5295802304428187,19,0.5789473684210527,0.18811881188118812
front3,15,6,101,1,1,0.5261676244352645,11,0.36363636363636365,0.10891089108910891
front3,15,7,101,1,1,0.46402838078606906,1,1.0,0.009900990099009901
front3,15,10,101,1,2,0.4016557590682389,3,0.3333333333333333,0.0297029702970297
front3,15,11,101,1,2,0.4852609569049962,1,0.0,0.009900990099009901
front3,15,13,101,1,1,0.37982429046355237,7,0.14285714285714285,0.06930693069306931
front3,15,13,101,1,3,0.34479309764015836,8,0.25,0.07920792079207921
front3,15,1,1858,2,0,0.0013504607181867453,4,0.0,0.002152852529601722
front3,15,1,1858,2,1,0.5432880582980948,597,0.5326633165829145,0.32131324004305706
front3,15,1,1858,2,2,0.4490752138005871,1,1.0,0.0005382131324004305
front3,15,1,1858,2,3,0.40171692474358517,1,0.0,0.0005382131324004305
front3,15,2,1858,2,0,0.0012514688501424553,1,0.0,0.0005382131324004305
front3,15,2,1858,2,1,0.5055389904602003,120,0.4666666666666667,0.06458557588805167
front3,15,2,1858,2,3,0.38287438250224737,1,0.0,0.0005382131324004305
front3,15,3,1858,2,2,0.5402738624837349,2,0.5,0.001076426264800861
front3,15,3,1858,2,3,0.5344112223971661,27,0.2962962962962963,0.014531754574811625
front3,15,4,1858,2,1,0.5306822988654901,39,0.6153846153846154,0.02099031216361679
front3,15,4,1858,2,4,0.5767484639058746,15,0.6,0.008073196986006458
front3,15,5,1858,2,1,0.5063698208555625,56,0.32142857142857145,0.030139935414424113
front3,15,5,1858,2,2,0.47784484754209017,4,0.75,0.002152852529601722
front3,15,5,1858,2,3,0.4624343177276765,15,0.4,0.008073196986006458
front3,15,6,1858,2,0,0.0014614729833733536,2,0.0,0.001076426264800861
front3,15,6,1858,2,1,0.544302801550899,54,0.5370370370370371,0.02906350914962325
front3,15,6,1858,2,2,0.5334868828799856,9,0.5555555555555556,0.004843918191603875
front3,15,6,1858,2,3,0.5331696460291786,32,0.5625,0.017222820236813777
front3,15,7,1858,2,1,0.5162555483173232,39,0.6153846153846154,0.02099031216361679
front3,15,7,1858,2,3,0.4888699695781418,10,0.6,0.005382131324004306
front3,15,8,1858,2,1,0.42393357979532376,4,0.5,0.002152852529601722
front3,15,8,1858,2,3,0.40445832517493363,8,0.375,0.004305705059203444
front3,15,8,1858,2,4,0.6132674976607129,2,1.0,0.001076426264800861
front3,15,9,1858,2,2,0.48246080236436834,11,0.36363636363636365,0.005920344456404736
front3,15,9,1858,2,5,0.6337467267942696,1,1.0,0.0005382131324004305
front3,15,10,1858,2,0,0.001130657682835876,1,0.0,0.0005382131324004305
front3,15,10,1858,2,1,0.4272945092025887,8,0.25,0.004305705059203444
front3,15,10,1858,2,2,0.43542462394713977,379,0.43799472295514513,0.20398277717976318
front3,15,10,1858,2,3,0.3631116644586704,19,0.42105263157894735,0.01022604951560818
front3,15,10,1858,2,4,0.5529899398960968,2,0.0,0.001076426264800861
front3,15,10,1858,2,5,0.517079323600077,6,0.3333333333333333,0.0032292787944025836
front3,15,11,1858,2,0,0.0012693703910524954,1,0.0,0.0005382131324004305
front3,15,11,1858,2,2,0.4770492027672355,168,0.5238095238095238,0.09041980624327234
front3,15,11,1858,2,3,0.3962022412939948,19,0.42105263157894735,0.01022604951560818
front3,15,12,1858,2,2,0.49808742877465984,65,0.49230769230769234,0.03498385360602799
front3,15,12,1858,2,3,0.43662978522311213,10,0.4,0.005382131324004306
front3,15,12,1858,2,4,0.6172578128065953,1,1.0,0.0005382131324004305
front3,15,12,1858,2,5,0.577358622597163,5,0.6,0.002691065662002153
front3,15,13,1858,2,0,0.0012542589162623434,1,0.0,0.0005382131324004305
front3,15,13,1858,2,1,0.36892447410200235,18,0.3333333333333333,0.00968783638320775
front3,15,13,1858,2,2,0.3650714528397398,1,0.0,0.0005382131324004305
front3,15,13,1858,2,3,0.316030738181274,97,0.36082474226804123,0.052206673842841764
front3,15,14,1858,2,1,0.24400208727222455,1,1.0,0.0005382131324004305
