B1_playerId,A1_actionId,C_actionId,B1_actionId,phase,n_context,p_b_given_a_context_mean,p_b_given_a_context_std,p_win_given_abc_mean,p_win_given_abc_std,p_win_given_abc_min,p_win_given_abc_max
0,1,1,1,receive,1,0.1609755482739573,0.0,0.5179795751171958,0.0,0.5179795751171958,0.5179795751171958
0,1,1,2,receive,1,0.1881139605531033,0.0,0.5802887488488387,0.0,0.5802887488488387,0.5802887488488387
0,1,1,3,receive,1,0.014749362930064708,0.0,0.5680704636941323,0.0,0.5680704636941323,0.5680704636941323
0,1,1,4,receive,1,0.009017420119114883,0.0,0.576484530144262,0.0,0.576484530144262,0.576484530144262
0,1,1,5,receive,1,0.09603214947185096,0.0,0.5596691022077736,0.0,0.5596691022077736,0.5596691022077736
0,1,1,6,receive,1,0.17891586735823645,0.0,0.5387866612720985,0.0,0.5387866612720985,0.5387866612720985
0,1,1,7,receive,1,0.011900249109761807,0.0,0.5319903152008312,0.0,0.5319903152008312,0.5319903152008312
0,1,1,8,receive,1,0.003932564726527736,0.0,0.7534809983529298,0.0,0.7534809983529298,0.7534809983529298
0,1,1,9,receive,1,0.006481843523970382,0.0,0.5215003560600093,0.0,0.5215003560600093,0.5215003560600093
0,1,1,10,receive,1,0.05954592248099157,0.0,0.5692060584937316,0.0,0.5692060584937316,0.5692060584937316
0,1,1,11,receive,1,0.02454034545336755,0.0,0.5749728208843871,0.0,0.5749728208843871,0.5749728208843871
0,1,1,12,receive,1,0.05748783958704646,0.0,0.5735508010374886,0.0,0.5735508010374886,0.5735508010374886
0,1,1,13,receive,1,0.1861326723619235,0.0,0.5804237547490673,0.0,0.5804237547490673,0.5804237547490673
0,1,1,14,receive,1,0.00217425405008337,0.0,0.6222149084335159,0.0,0.6222149084335159,0.6222149084335159
0,1,2,1,receive,1,0.1609755482739573,0.0,0.43484785226008915,0.0,0.43484785226008915,0.43484785226008915
0,1,2,2,receive,1,0.1881139605531033,0.0,0.49740841972888883,0.0,0.49740841972888883,0.49740841972888883
