A1_playerId,A1_actionId,C_actionId,B1_actionId,phase,n_context,p_b_given_a_context_mean,p_b_given_a_context_std,p_win_given_abc_mean,p_win_given_abc_std,p_win_given_abc_min,p_win_given_abc_max
0,1,1,1,receive,3,0.09177555089746699,0.005574347933334154,0.4721897105855664,0.00525854625076862,0.46743087090573615,0.4778352278440727
0,1,1,2,receive,3,0.21136217280550249,0.026599212386192558,0.48018793736299936,0.013863600670683611,0.46914399268881923,0.4957459890183001
0,1,1,3,receive,3,0.010190925947393204,0.003458525669615003,0.48070401332583224,0.01473383304567618,0.46914399268881923,0.4972942169067987
0,1,1,4,receive,3,0.002808884585411104,0.00019969421343065186,0.4838167242445303,0.014737992768787081,0.47225279286983796,0.5004114161941969
0,1,1,5,receive,3,0.11544526341882937,0.008079137417625613,0.4838167242445303,0.014737992768787081,0.47225279286983796,0.5004114161941969
0,1,1,6,receive,3,0.24072524228533557,0.016212895679398813,0.48143159743038283,0.014734885929268866,0.46987059947976667,0.4980229408749242
0,1,1,7,receive,3,0.0037302744468913226,0.00018144875026727204,0.4812923644986442,0.014734688249446402,0.4697315505866942,0.49788349409828747
0,1,1,8,receive,3,0.0031204163060093073,8.641586418369183e-05,0.48976022726682683,0.02155632555381703,0.4747843312206033,0.5144663945530237
0,1,1,9,receive,3,0.006862855939596064,0.0005806729076219227,0.4817628943793684,0.017038104932267376,0.46942241715950367,0.5012027029210074
0,1,1,10,receive,3,0.015340881224420672,0.0003704217341776509,0.5173118955083761,0.018398101308104445,0.5041719120251096,0.5383385728067988
0,1,1,11,receive,3,0.006338186301024747,0.00021096208131260628,0.519569854463684,0.018872522555185713,0.5061534353018292,0.5411499126267835
0,1,1,12,receive,3,0.05524512179591092,0.0003255306154370572,0.501215078684067,0.018626943273564137,0.48830982019975433,0.5225691757501119
0,1,1,13,receive,3,0.23473776754565978,0.011140849995292844,0.5232544390888817,0.025146255023138057,0.5065650597796786,0.5521766068541228
0,1,1,14,receive,3,0.002316456500548618,7.932805128881947e-05,0.593075923681737,0.0539899808352865,0.5606801534548146,0.6554019301979601
0,1,2,1,receive,3,0.09177555089746699,0.005574347933334154,0.4240495938340391,0.0028228887408845507,0.4212589497938545,0.4269036585401968
0,1,2,2,receive,3,0.21136217280550249,0.026599212386192558,0.43196717293529235,0.017566343893719742,0.41913733795393393,0.4519880794953395
0,1,2,3,receive,3,0.010190925947393204,0.003458525669615003,0.4324796455282582,0.0184430154791213,0.41913733795393393,0.45352549727423686
0,1,2,4,receive,3,0.002808884585411104,0.00019969421343065186,0.4367786379204685,0.01847379153485778,0.4234129722164352,0.45785939454257796
0,1,2,5,receive,3,0.11544526341882937,0.008079137417625613,0.43900780399887845,0.018488881127980854,0.42563065416793827,0.46010566835432576
0,1,2,6,receive,3,0.24072524228533557,0.016212895679398813,0.4385750458801536,0.018485998084837748,0.4252000920049793,0.4596696419544851
0,1,2,7,receive,3,0.0037302744468913226,0.00018144875026727204,0.4391581868588957,0.01848987775298903,0.42578027771507715,0.4602571809701428
0,1,2,8,receive,3,0.0031204163060093073,8.641586418369183e-05,0.4555038097342526,0.024480812893186245,0.4392224726266125,0.48365694306385
0,1,2,9,receive,3,0.006862855939596064,0.0005806729076219227,0.4475480259141989,0.01992323495963627,0.4339154993168855,0.4704126833751084
0,1,2,10,receive,3,0.015340881224420672,0.0003704217341776509,0.49098051387835273,0.01963993914810988,0.47748849889809114,0.5135126342076456
0,1,2,11,receive,3,0.006338186301024747,0.00021096208131260628,0.49324120548631956,0.020124249631609466,0.47946730366944584,0.5163360293208894
0,1,2,12,receive,3,0.05524512179591092,0.0003255306154370572,0.4753725718081081,0.02010115121461064,0.46161846643153714,0.4984414347447963
0,1,2,13,receive,3,0.23473776754565978,0.011140849995292844,0.497421982069227,0.026715471139904825,0.47982488045802296,0.5281630238316645
0,1,2,14,receive,3,0.002316456500548618,7.932805128881947e-05,0.5999778563674859,0.0392142944792017,0.576124213288446,0.645236549672553
0,1,3,1,receive,3,0.09177555089746699,0.005574347933334154,0.4264936158280019,0.02235096926900039,0.4040020687090391,0.44870130338141734
0,1,3,2,receive,3,0.21136217280550249,0.026599212386192558,0.43431636497007053,0.011176674914974063,0.4246500462966566,0.4465549125230034
0,1,3,3,receive,3,0.010190925947393204,0.003458525669615003,0.4348250570529865,0.011034896812444468,0.4246500462966566,0.4465549125230034
0,1,3,4,receive,3,0.002808884585411104,0.00019969421343065186,0.4391302213056765,0.011053700556365084,0.42893723762021424,0.4508796530008872
