phase,A1_actionId,C_actionId,n_context,B1_playerId,EV,count,train_winrate,usage_rate
receive,1,6,1,0,0.5020157814107514,1,0.0,1.0
receive,4,1,8,0,0.58928826661036,1,1.0,0.125
receive,4,2,8,0,0.5319266504288341,1,1.0,0.125
receive,4,5,8,0,0.5080176608346935,2,0.0,0.25
receive,4,6,8,0,0.5080176608346935,1,0.0,0.125
receive,4,13,8,0,0.29847536216610143,3,0.0,0.375
receive,7,5,1,0,0.4876814796818668,1,0.0,1.0
receive,10,2,2,0,0.4865507454003791,2,0.5,1.0
receive,11,1,9,0,0.5286595546054204,5,0.8,0.5555555555555556
receive,11,7,9,0,0.4168924484010906,2,0.0,0.2222222222222222
receive,11,13,9,0,0.26356938517900846,2,0.0,0.2222222222222222
receive,1,2,4,1,0.5341696959770099,2,0.5,0.5
receive,1,3,4,1,0.5471683661821976,1,1.0,0.25
receive,1,13,4,1,0.3479409910814419,1,0.0,0.25
receive,4,2,1,1,0.5077436786483088,1,1.0,1.0
receive,10,1,13,1,0.6015068277225055,5,0.4,0.38461538461538464
receive,10,2,13,1,0.5454667170015753,3,0.6666666666666666,0.23076923076923078
receive,10,10,13,1,0.480447013941481,2,0.5,0.15384615384615385
receive,10,13,13,1,0.3944654884754074,3,1.0,0.23076923076923078
receive,6,3,5,2,0.5629492337222783,1,1.0,0.2
receive,6,10,5,2,0.4274471131820453,2,0.5,0.4
receive,6,13,5,2,0.2786944965876028,2,1.0,0.4
receive,7,10,1,2,0.45910195426236877,1,1.0,1.0
receive,10,3,18,2,0.5320272676607679,3,0.6666666666666666,0.16666666666666666
receive,10,5,18,2,0.4680710389860942,1,1.0,0.05555555555555555
receive,10,6,18,2,0.4680710389860942,1,1.0,0.05555555555555555
receive,10,10,18,2,0.42444785439253346,12,0.4166666666666667,0.6666666666666666
receive,10,13,18,2,0.324273985053576,1,0.0,0.05555555555555555
receive,1,1,12,3,0.6130742684996433,1,0.0,0.08333333333333333
receive,1,2,12,3,0.5654173194159436,1,1.0,0.08333333333333333
receive,1,3,12,3,0.5847194620880155,1,1.0,0.08333333333333333
receive,1,5,12,3,0.5374093055432888,1,0.0,0.08333333333333333
receive,1,6,12,3,0.5353464080162589,5,0.4,0.4166666666666667
receive,1,13,12,3,0.3761504038657439,3,0.3333333333333333,0.25
receive,4,2,1,3,0.49113076659087085,1,0.0,1.0
receive,6,1,17,3,0.6259316125919544,2,0.5,0.11764705882352941
receive,6,2,17,3,0.5738322888670567,4,0.5,0.23529411764705882
receive,6,5,17,3,0.540662332080065,1,1.0,0.058823529411764705
receive,6,6,17,3,0.540662332080065,4,0.5,0.23529411764705882
receive,6,9,17,3,0.5106017257955082,2,0.5,0.11764705882352941
receive,6,13,17,3,0.34562393499112254,4,0.0,0.23529411764705882
receive,7,1,18,3,0.6215866582352221,1,1.0,0.05555555555555555
receive,7,2,18,3,0.5686746566826177,3,0.6666666666666666,0.16666666666666666
receive,7,3,18,3,0.5699232951077674,1,0.0,0.05555555555555555
receive,7,6,18,3,0.5454812052990939,9,0.3333333333333333,0.5
receive,7,9,18,3,0.5100369730544082,1,0.0,0.05555555555555555
receive,7,13,18,3,0.3864478952354695,3,0.6666666666666666,0.16666666666666666
receive,9,1,11,3,0.6133891668663853,1,1.0,0.09090909090909091
receive,9,5,11,3,0.544502404564989,1,1.0,0.09090909090909091
receive,9,7,11,3,0.4899785249806884,2,1.0,0.18181818181818182
receive,9,10,11,3,0.4917384105881759,1,1.0,0.09090909090909091
receive,9,13,11,3,0.4355130205201084,6,0.16666666666666666,0.5454545454545454
receive,10,1,30,3,0.6307857265993392,2,0.5,0.06666666666666667
receive,10,2,30,3,0.581238852065832,2,0.5,0.06666666666666667
receive,10,3,30,3,0.5985174463404392,1,0.0,0.03333333333333333
receive,10,5,30,3,0.5394995868237903,1,1.0,0.03333333333333333
receive,10,6,30,3,0.5394995868237903,7,0.42857142857142855,0.23333333333333334
receive,10,7,30,3,0.48152632877411233,2,0.0,0.06666666666666667
receive,10,10,30,3,0.481723952139222,1,0.0,0.03333333333333333
receive,10,13,30,3,0.4236981054598251,14,0.5,0.4666666666666667
receive,11,1,5,3,0.6175829630157532,1,1.0,0.2
receive,11,2,5,3,0.5651756269157608,2,0.5,0.4
receive,11,6,5,3,0.5502528366061679,1,1.0,0.2
receive,11,10,5,3,0.4898597402818279,1,1.0,0.2
receive,8,1,3,4,0.6600603830583054,2,0.5,0.6666666666666666
receive,8,12,3,4,0.5486751339981369,1,1.0,0.3333333333333333
receive,10,1,1,4,0.6694826753467339,1,0.0,1.0
receive,12,1,13,4,0.6119134387889804,3,0.6666666666666666,0.23076923076923078
receive,12,2,13,4,0.5703695897030235,1,1.0,0.07692307692307693
receive,12,12,13,4,0.5227331716902615,6,0.5,0.46153846153846156
receive,12,13,13,4,0.36958117101407617,3,0.6666666666666666,0.23076923076923078
receive,1,1,2,5,0.621788118587584,1,0.0,0.5
receive,1,10,2,5,0.5017538651171338,1,1.0,0.5
receive,4,1,1,5,0.5982525107405865,1,1.0,1.0
receive,6,1,2,5,0.6097029679448023,2,1.0,1.0
receive,10,1,11,5,0.638575979077896,2,1.0,0.18181818181818182
receive,10,3,11,5,0.6097399819332544,1,0.0,0.09090909090909091
receive,10,5,11,5,0.5528315000048288,3,0.6666666666666666,0.2727272727272727
receive,10,6,11,5,0.5528315000048288,2,0.5,0.18181818181818182
receive,10,13,11,5,0.4383985517144366,3,0.0,0.2727272727272727
receive,1,6,1,6,0.5207576277434005,1,0.0,1.0
receive,6,13,2,6,0.17845325060206874,2,0.0,1.0
receive,7,13,2,6,0.20037606209821024,2,0.5,1.0
receive,10,6,9,6,0.45824042399496523,1,1.0,0.1111111111111111
receive,10,12,9,6,0.43798878940819264,1,0.0,0.1111111111111111
receive,10,13,9,6,0.3384820419461184,7,0.14285714285714285,0.7777777777777778
receive,11,13,2,6,0.30395783664218595,2,0.0,1.0
receive,1,13,1,7,0.43479897841050186,1,1.0,1.0
receive,4,2,4,7,0.5360403249569693,3,0.6666666666666666,0.75
receive,4,14,4,7,0.2856152605647184,1,0.0,0.25
receive,10,1,10,7,0.5119905633520809,3,0.3333333333333333,0.3
receive,10,2,10,7,0.46388395476884126,3,0.6666666666666666,0.3
receive,10,11,10,7,0.4231079564366116,1,0.0,0.1
receive,10,13,10,7,0.34262660001414863,3,0.3333333333333333,0.3
receive,11,1,1,7,0.6005182499317451,1,1.0,1.0
receive,1,1,19,8,0.5803306442900984,5,0.6,0.2631578947368421
receive,1,2,19,8,0.5235108281563677,1,1.0,0.05263157894736842
receive,1,5,19,8,0.509736591956159,7,0.5714285714285714,0.3684210526315789
receive,1,6,19,8,0.5092157663216184,4,0.0,0.21052631578947367
receive,1,13,19,8,0.3518078080142977,2,0.5,0.10526315789473684
receive,4,1,7,8,0.5721074871458836,2,0.5,0.2857142857142857
receive,4,5,7,8,0.4919485736473571,3,0.6666666666666666,0.42857142857142855
receive,4,6,7,8,0.4919485736473571,1,0.0,0.14285714285714285
receive,4,13,7,8,0.32010963064144704,1,0.0,0.14285714285714285
receive,6,13,1,8,0.34569557761306685,1,0.0,1.0
receive,10,1,13,8,0.5901605835086448,2,0.5,0.15384615384615385
receive,10,2,13,8,0.5341649960949763,3,0.0,0.23076923076923078
receive,10,5,13,8,0.5124549413438321,2,1.0,0.15384615384615385
receive,10,6,13,8,0.5124549413438321,1,1.0,0.07692307692307693
receive,10,13,13,8,0.3829626282638539,5,0.6,0.38461538461538464
receive,11,1,13,8,0.5637556941221987,6,0.3333333333333333,0.46153846153846156
receive,11,2,13,8,0.5090885348283538,2,0.5,0.15384615384615385
receive,11,5,13,8,0.49610402377177565,1,1.0,0.07692307692307693
receive,11,10,13,8,0.4571000308629506,4,0.75,0.3076923076923077
receive,1,3,1,9,0.5819010097889628,1,0.0,1.0
receive,1,2,1,10,0.48998212352070103,1,0.0,1.0
receive,4,1,3,10,0.6201009813699249,1,1.0,0.3333333333333333
receive,4,13,3,10,0.33079664993028474,2,0.0,0.6666666666666666
receive,7,1,10,10,0.597255426379763,3,0.6666666666666666,0.3
receive,7,13,10,10,0.3824603098903588,7,0.5714285714285714,0.7
receive,10,1,7,10,0.5128771882025741,3,1.0,0.42857142857142855
receive,10,13,7,10,0.26538381066454825,4,0.5,0.5714285714285714
receive,11,1,6,10,0.5706682435427388,3,0.3333333333333333,0.5
receive,11,7,6,10,0.45328978923775504,1,0.0,0.16666666666666666
receive,11,13,6,10,0.2864725368896967,2,0.0,0.3333333333333333
receive,1,1,20,11,0.5191809640170735,9,0.2222222222222222,0.45
receive,1,2,20,11,0.4698900725532944,1,0.0,0.05
receive,1,3,20,11,0.4927025676277818,1,1.0,0.05
receive,1,6,20,11,0.43590468770171087,1,1.0,0.05
receive,1,11,20,11,0.38402188695193007,2,0.0,0.1
receive,1,13,20,11,0.2723452182867022,6,0.3333333333333333,0.3
receive,4,1,12,11,0.5074447558678797,5,0.4,0.4166666666666667
receive,4,3,12,11,0.4530046163168029,1,0.0,0.08333333333333333
receive,4,11,12,11,0.36520856112624983,2,0.5,0.16666666666666666
receive,4,13,12,11,0.24898784786515007,3,0.3333333333333333,0.25
receive,4,14,12,11,0.20901803021568077,1,0.0,0.08333333333333333
receive,6,13,1,11,0.010737477589513243,1,0.0,1.0
receive,7,13,1,11,0.23522678775432143,1,1.0,1.0
receive,10,1,58,11,0.5061128257891846,33,0.5151515151515151,0.5689655172413793
receive,10,2,58,11,0.4506722917046247,2,0.5,0.034482758620689655
receive,10,5,58,11,0.4270215162531466,1,1.0,0.017241379310344827
receive,10,7,58,11,0.38319435217819425,1,0.0,0.017241379310344827
receive,10,10,58,11,0.38784451210408655,7,0.2857142857142857,0.1206896551724138
receive,10,11,58,11,0.3873447407578514,1,1.0,0.017241379310344827
receive,10,13,58,11,0.277137424996371,12,0.08333333333333333,0.20689655172413793
receive,10,14,58,11,0.19570895726759022,1,0.0,0.017241379310344827
receive,11,1,14,11,0.41482150132511564,6,0.6666666666666666,0.42857142857142855
receive,11,6,14,11,0.3537001653238991,1,0.0,0.07142857142857142
receive,11,7,14,11,0.32122127802451217,1,1.0,0.07142857142857142
receive,11,13,14,11,0.19865758127844518,5,0.2,0.35714285714285715
receive,11,14,14,11,0.14433842041502673,1,1.0,0.07142857142857142
receive,1,2,2,12,0.3859216808326781,1,0.0,0.5
receive,1,6,2,12,0.37673722359806405,1,1.0,0.5
receive,4,5,4,12,0.2739790412968768,1,0.0,0.25
receive,4,6,4,12,0.27945958664604087,2,0.0,0.5
receive,4,13,4,12,0.14657340606125552,1,0.0,0.25
receive,6,6,2,12,0.39952082757343343,1,0.0,0.5
receive,6,13,2,12,0.2308761794264673,1,0.0,0.5
receive,7,5,1,12,0.007835465950966743,1,0.0,1.0
receive,10,1,20,12,0.4398338986005098,6,0.3333333333333333,0.3
receive,10,2,20,12,0.3859307814666537,3,0.0,0.15
receive,10,3,20,12,0.39440145130834836,1,1.0,0.05
receive,10,5,20,12,0.3643117369154195,1,1.0,0.05
