A1_actionId,A1_spinId,C_actionId,C_spinId,A1_playerId,use_count,win_rate,usage_share
0,1,1,0,70,1,0.0,1.0
0,1,1,1,96,1,1.0,1.0
0,1,2,0,88,1,0.0,1.0
0,1,2,1,19,1,0.0,0.09090909090909091
0,1,2,1,33,1,1.0,0.09090909090909091
0,1,2,1,70,4,1.0,0.36363636363636365
0,1,2,1,74,2,0.0,0.18181818181818182
0,1,2,1,88,2,1.0,0.18181818181818182
0,1,2,1,137,1,0.0,0.09090909090909091
0,1,3,1,67,1,1.0,0.5
0,1,3,1,70,1,1.0,0.5
0,1,5,1,33,1,1.0,0.25
0,1,5,1,70,2,0.0,0.5
0,1,5,1,122,1,1.0,0.25
0,1,6,1,23,1,1.0,0.25
0,1,6,1,70,3,1.0,0.75
0,1,6,3,128,1,0.0,1.0
0,1,7,1,72,1,1.0,1.0
0,1,10,2,45,1,0.0,0.5
0,1,10,2,70,1,0.0,0.5
0,1,11,2,70,1,1.0,1.0
0,1,12,2,51,1,0.0,0.5
0,1,12,2,155,1,1.0,0.5
0,1,13,3,65,1,1.0,0.3333333333333333
0,1,13,3,72,1,1.0,0.3333333333333333
0,1,13,3,74,1,0.0,0.3333333333333333
0,2,1,0,23,1,0.0,0.25
0,2,1,0,33,1,0.0,0.25
0,2,1,0,70,1,0.0,0.25
0,2,1,0,96,1,0.0,0.25
0,2,1,1,3,3,0.3333333333333333,0.010273972602739725
0,2,1,1,7,5,0.6,0.017123287671232876
0,2,1,1,19,2,0.0,0.00684931506849315
0,2,1,1,21,1,1.0,0.003424657534246575
0,2,1,1,23,4,0.5,0.0136986301369863
0,2,1,1,26,5,0.2,0.017123287671232876
0,2,1,1,33,3,1.0,0.010273972602739725
0,2,1,1,35,5,0.6,0.017123287671232876
0,2,1,1,39,1,0.0,0.003424657534246575
0,2,1,1,43,3,0.6666666666666666,0.010273972602739725
0,2,1,1,45,1,0.0,0.003424657534246575
0,2,1,1,57,2,0.5,0.00684931506849315
0,2,1,1,59,10,0.4,0.03424657534246575
0,2,1,1,65,2,0.5,0.00684931506849315
0,2,1,1,69,2,0.0,0.00684931506849315
0,2,1,1,70,46,0.5,0.15753424657534246
0,2,1,1,72,6,0.5,0.02054794520547945
0,2,1,1,74,5,0.8,0.017123287671232876
0,2,1,1,90,6,0.8333333333333334,0.02054794520547945
0,2,1,1,94,2,0.5,0.00684931506849315
0,2,1,1,96,37,0.5945945945945946,0.1267123287671233
0,2,1,1,97,3,1.0,0.010273972602739725
0,2,1,1,107,4,0.25,0.0136986301369863
0,2,1,1,115,10,0.6,0.03424657534246575
0,2,1,1,128,13,0.3076923076923077,0.04452054794520548
0,2,1,1,129,16,0.625,0.0547945205479452
0,2,1,1,131,2,0.5,0.00684931506849315
0,2,1,1,133,31,0.5161290322580645,0.10616438356164383
0,2,1,1,136,53,0.5283018867924528,0.1815068493150685
0,2,1,1,158,9,0.4444444444444444,0.030821917808219176
0,2,2,0,23,1,0.0,0.25
0,2,2,0,70,3,0.0,0.75
0,2,2,1,3,4,0.75,0.03125
0,2,2,1,7,5,0.6,0.0390625
0,2,2,1,19,4,0.5,0.03125
0,2,2,1,23,1,1.0,0.0078125
0,2,2,1,26,1,1.0,0.0078125
0,2,2,1,28,1,0.0,0.0078125
0,2,2,1,30,2,1.0,0.015625
0,2,2,1,35,1,1.0,0.0078125
0,2,2,1,43,1,1.0,0.0078125
0,2,2,1,59,4,0.75,0.03125
0,2,2,1,67,3,0.6666666666666666,0.0234375
0,2,2,1,69,2,0.5,0.015625
0,2,2,1,70,16,0.5,0.125
0,2,2,1,72,4,0.25,0.03125
0,2,2,1,74,5,0.6,0.0390625
0,2,2,1,96,7,0.42857142857142855,0.0546875
0,2,2,1,107,6,0.3333333333333333,0.046875
0,2,2,1,115,4,0.25,0.03125
0,2,2,1,122,3,0.6666666666666666,0.0234375
0,2,2,1,129,1,0.0,0.0078125
0,2,2,1,133,18,0.5555555555555556,0.140625
0,2,2,1,136,32,0.34375,0.25
0,2,2,1,158,3,0.6666666666666666,0.0234375
0,2,2,3,136,2,0.5,1.0
0,2,3,1,19,1,0.0,0.2
0,2,3,1,96,4,1.0,0.8
0,2,3,2,155,1,0.0,1.0
0,2,3,3,115,2,0.0,0.5
0,2,3,3,133,1,1.0,0.25
0,2,3,3,136,1,0.0,0.25
0,2,4,0,70,2,0.0,1.0
0,2,4,1,19,2,1.0,0.0625
0,2,4,1,23,1,1.0,0.03125
0,2,4,1,35,4,0.75,0.125
0,2,4,1,62,1,1.0,0.03125
0,2,4,1,70,3,0.3333333333333333,0.09375
0,2,4,1,72,1,1.0,0.03125
0,2,4,1,74,1,0.0,0.03125
0,2,4,1,96,12,0.8333333333333334,0.375
0,2,4,1,107,1,1.0,0.03125
0,2,4,1,111,1,0.0,0.03125
0,2,4,1,122,4,0.0,0.125
0,2,4,1,135,1,0.0,0.03125
0,2,5,0,70,1,0.0,1.0
0,2,5,1,3,3,0.6666666666666666,0.10344827586206896
0,2,5,1,7,1,0.0,0.034482758620689655
0,2,5,1,26,3,0.6666666666666666,0.10344827586206896
0,2,5,1,59,2,1.0,0.06896551724137931
0,2,5,1,69,1,0.0,0.034482758620689655
0,2,5,1,70,5,0.6,0.1724137931034483
0,2,5,1,96,2,1.0,0.06896551724137931
0,2,5,1,107,1,1.0,0.034482758620689655
0,2,5,1,128,2,1.0,0.06896551724137931
0,2,5,1,133,5,0.6,0.1724137931034483
0,2,5,1,136,3,0.6666666666666666,0.10344827586206896
0,2,5,1,158,1,1.0,0.034482758620689655
0,2,6,0,70,1,0.0,1.0
0,2,6,1,19,3,0.6666666666666666,0.12
0,2,6,1,23,1,0.0,0.04
0,2,6,1,70,7,0.42857142857142855,0.28
0,2,6,1,72,2,0.5,0.08
0,2,6,1,96,2,1.0,0.08
0,2,6,1,97,3,0.3333333333333333,0.12
0,2,6,1,136,6,0.8333333333333334,0.24
0,2,6,1,158,1,1.0,0.04
0,2,6,3,26,1,0.0,0.045454545454545456
0,2,6,3,45,1,0.0,0.045454545454545456
0,2,6,3,59,1,1.0,0.045454545454545456
0,2,6,3,96,3,0.3333333333333333,0.13636363636363635
0,2,6,3,133,10,0.5,0.45454545454545453
0,2,6,3,136,3,0.3333333333333333,0.13636363636363635
0,2,6,3,158,3,0.3333333333333333,0.13636363636363635
0,2,7,0,33,5,0.0,0.7142857142857143
0,2,7,0,70,1,0.0,0.14285714285714285
0,2,7,0,96,1,0.0,0.14285714285714285
0,2,7,1,19,3,0.6666666666666666,0.07317073170731707
0,2,7,1,21,1,1.0,0.024390243902439025
0,2,7,1,28,1,1.0,0.024390243902439025
