A1_actionId,C_actionId,EV,count,usage_rate
8,2,0.5510867815726067,21,0.23076923076923078
8,5,0.5146585073325072,14,0.15384615384615385
8,6,0.5551277007393344,7,0.07692307692307693
8,8,0.405750118913296,4,0.04395604395604396
8,12,0.5061274445711871,9,0.0989010989010989
8,13,0.23249081812268396,16,0.17582417582417584
8,14,0.14140416497611943,4,0.04395604395604396
9,1,0.5831086685212025,14,0.07291666666666667
9,2,0.537819785304025,6,0.03125
9,3,0.599934049079272,42,0.21875
9,5,0.5201119879823709,22,0.11458333333333333
9,6,0.5674712270051482,13,0.06770833333333333
9,8,0.4206526244884618,2,0.010416666666666666
9,9,0.48151077924441665,31,0.16145833333333334
9,10,0.4835927254077808,7,0.036458333333333336
9,12,0.5623890397132121,18,0.09375
9,13,0.27761494827379213,37,0.19270833333333334
10,1,0.4927744330793253,567,0.15374186550976138
10,2,0.45486023059282565,614,0.16648590021691975
10,3,0.5546539237000108,193,0.05233188720173536
10,4,0.49106122987668765,20,0.005422993492407809
10,5,0.45727372643080977,267,0.07239696312364426
10,6,0.5159245159290056,297,0.08053145336225596
10,7,0.428041966433202,31,0.008405639913232104
10,8,0.36698998438471614,6,0.0016268980477223427
10,9,0.45589692742020943,30,0.008134490238611713
10,10,0.44368943566411906,313,0.08486984815618222
10,11,0.45003089838385374,17,0.004609544468546637
10,12,0.5278885463104066,190,0.05151843817787419
10,13,0.2514017232341963,1143,0.3099240780911063
11,1,0.542887836533939,770,0.40293040293040294
11,2,0.4777790445619816,211,0.11041339612768185
11,3,0.6245778180901732,40,0.020931449502878074
11,4,0.5423373045153995,58,0.030350601779173206
11,5,0.5170447656000406,88,0.046049188906331764
11,6,0.6081070026857757,116,0.06070120355834641
11,7,0.44684193898685715,85,0.044479330193615906
11,8,0.4018391962984143,3,0.0015698587127158557
11,10,0.4906082273302727,104,0.05442176870748299
11,11,0.47712751857068064,68,0.035583464154892726
11,12,0.5447839623998615,2,0.0010465724751439038
11,13,0.2519021099799764,359,0.1878597592883307
