A1_actionId,C_actionId,B1_actionId,phase,n_context,p_b_given_a_context_mean,p_b_given_a_context_std,p_win_given_abc_mean,p_win_given_abc_std,p_win_given_abc_min,p_win_given_abc_max
0,1,0,front3,3127,0.0017189213220438768,0.0009514597698217575,0.4630401546356611,0.08714439673768004,0.0010835097637027502,0.696007251739502
0,1,1,front3,3127,0.1399875166467468,0.06632885979152789,0.4630401546356611,0.08714439673768004,0.0010835097637027502,0.696007251739502
0,1,3,front3,3127,0.004793428880050401,0.0024122076794151413,0.508039179249337,0.08000208788662426,0.001109125791117549,0.7477028965950012
0,1,4,front3,3127,0.1922598524067804,0.024887369342319065,0.5519626270423068,0.08461119742126783,0.0015919049037620425,0.7723338007926941
0,1,6,front3,3127,0.04208454395010172,0.019018687969166333,0.532750406841961,0.08644668165651766,0.0013783697504550219,0.7800778150558472
0,1,7,front3,3127,0.0649081920957865,0.00842542098192762,0.5483971658957391,0.08798132166653215,0.001490937895141542,0.7813019752502441
0,1,8,front3,3127,0.003209681818610094,0.001211022611656011,0.6364886424011531,0.09527654711306922,0.0018904266180470586,0.8427647352218628
0,1,9,front3,3127,0.005898115490704737,0.0019702525501190814,0.5080448335822467,0.08533577588416413,0.0012213063891977072,0.7667341232299805
0,1,10,front3,3127,0.3247036789161111,0.040831462404102126,0.5838530892825667,0.08835324095109882,0.0016087244730442762,0.8329475522041321
0,1,11,front3,3127,0.18664129919576905,0.05705751868411106,0.5863496487480933,0.08796767970902572,0.0014902246184647083,0.8501151204109192
0,1,12,front3,3127,0.0337947692772953,0.015373342442380198,0.5815675787837371,0.08608637244169919,0.0016345287440344691,0.8412123322486877
0,2,0,front3,3127,0.0017189213220438768,0.0009514597698217575,0.41574987878948944,0.09305179594865395,0.0009360031690448523,0.6727161407470703
0,2,1,front3,3127,0.1399875166467468,0.06632885979152789,0.41574987878948944,0.09305179594865395,0.0009360031690448523,0.6727161407470703
0,2,3,front3,3127,0.004793428880050401,0.0024122076794151413,0.46659671508543743,0.08533362114328226,0.0012034802930429578,0.7166360020637512
0,2,4,front3,3127,0.1922598524067804,0.024887369342319065,0.5085833109388465,0.08549537442615543,0.0014050985919311643,0.7342818379402161
0,2,6,front3,3127,0.04208454395010172,0.019018687969166333,0.4918173692050069,0.08944996658547014,0.0012550284154713154,0.7231250405311584
0,2,7,front3,3127,0.0649081920957865,0.00842542098192762,0.5095440708893403,0.08957430762226658,0.0013118808856233954,0.7323436141014099
0,2,8,front3,3127,0.003209681818610094,0.001211022611656011,0.6059065907556227,0.09804074000808514,0.0016912685241550207,0.8173370361328125
