phase,A1_actionId,C_actionId,n_context,B1_playerId,A1_spinId,C_spinId,EV,count,train_winrate,usage_rate
late,7,13,9,3,1,3,0.5293677245717345,1,1.0,0.1111111111111111
late,7,1,10,3,3,1,0.7446431857357292,2,1.0,0.2
late,7,2,10,3,3,1,0.7159081820435348,2,0.5,0.2
late,7,3,10,3,3,2,0.7532451885126841,1,0.0,0.1
late,7,5,10,3,3,1,0.7001381944776006,1,1.0,0.1
late,7,13,10,3,3,3,0.46253236355415694,4,0.25,0.4
late,9,5,3,3,2,1,0.6722163695528471,1,1.0,0.3333333333333333
late,9,10,3,3,2,3,0.6095511641428272,1,1.0,0.3333333333333333
late,9,13,3,3,2,3,0.5112753142123544,1,0.0,0.3333333333333333
late,10,2,20,3,2,1,0.681835677998426,2,0.5,0.1
late,10,5,20,3,2,1,0.6802842434180658,3,0.6666666666666666,0.15
late,10,6,20,3,2,3,0.6937429015367115,2,1.0,0.1
late,10,7,20,3,2,1,0.6538315160655169,1,1.0,0.05
late,10,13,20,3,2,3,0.5164055223857347,12,0.75,0.6
late,10,1,4,3,3,1,0.7107734659127172,2,1.0,0.5
late,10,7,4,3,3,1,0.6399184309056021,1,1.0,0.25
late,10,13,4,3,3,3,0.43947566812404093,1,0.0,0.25
late,11,1,4,3,2,1,0.7541053073925348,2,0.5,0.5
late,11,2,4,3,2,1,0.7250659839292186,1,1.0,0.25
late,11,10,4,3,2,2,0.6709194744557061,1,1.0,0.25
late,11,1,1,3,3,1,0.7520065749674779,1,1.0,1.0
late,13,1,16,3,3,1,0.588687361174149,1,1.0,0.0625
late,13,2,16,3,3,1,0.5631549713573183,5,0.4,0.3125
late,13,5,16,3,3,1,0.5548368904820249,1,0.0,0.0625
late,13,6,16,3,3,3,0.5758070199201065,5,0.8,0.3125
late,13,13,16,3,3,3,0.3302059166705674,4,0.0,0.25
late,14,14,1,3,1,1,0.3076069339936319,1,1.0,1.0
late,1,1,2,4,1,1,0.7192172513144507,1,1.0,0.5
late,1,3,2,4,1,3,0.7750031936639024,1,1.0,0.5
late,3,3,1,4,3,3,0.7666769338332459,1,1.0,1.0
late,8,12,2,4,3,2,0.6351480427126144,2,1.0,1.0
late,10,12,1,4,2,3,0.7011336063372193,1,0.0,1.0
late,12,1,12,4,2,1,0.6410645337303673,3,0.6666666666666666,0.25
late,12,2,12,4,2,1,0.6151781142648123,2,1.0,0.16666666666666666
late,12,12,12,4,2,2,0.5846548278873097,2,0.5,0.16666666666666666
late,12,12,12,4,2,3,0.5886110107845166,2,1.0,0.16666666666666666
late,12,13,12,4,2,3,0.43104529430229754,3,0.3333333333333333,0.25
late,12,1,5,4,3,1,0.6417750868858878,1,1.0,0.2
late,12,2,5,4,3,1,0.6187807569797148,1,0.0,0.2
late,12,12,5,4,3,2,0.5727006269111798,1,1.0,0.2
late,12,13,5,4,3,3,0.34273064373062534,1,1.0,0.2
late,12,14,5,4,3,1,0.2685721218601923,1,0.0,0.2
late,14,14,1,4,1,0,0.02931097184520617,1,0.0,1.0
late,1,1,15,5,1,1,0.6636904804024105,10,0.7,0.6666666666666666
late,1,3,15,5,1,3,0.6871649255067607,1,1.0,0.06666666666666667
late,1,6,15,5,1,3,0.6464926024139722,1,0.0,0.06666666666666667
late,1,10,15,5,1,2,0.5799203821954646,2,0.5,0.13333333333333333
late,1,12,15,5,1,2,0.5856823094435633,1,1.0,0.06666666666666667
late,5,1,3,5,1,1,0.647103589179331,3,1.0,1.0
late,6,1,4,5,3,1,0.6395561332671127,4,0.75,1.0
late,10,5,1,5,2,1,0.6913548431491613,1,0.0,1.0
late,13,13,1,5,3,3,0.27652087129884706,1,0.0,1.0
late,1,1,6,6,1,1,0.624338284758164,2,0.5,0.3333333333333333
late,1,5,6,6,1,1,0.5872405705500263,2,1.0,0.3333333333333333
late,1,13,6,6,1,3,0.3517679483119183,1,0.0,0.16666666666666666
late,1,14,6,6,1,3,0.3167209136694703,1,1.0,0.16666666666666666
late,2,5,1,6,1,1,0.5468789508558329,1,1.0,1.0
late,5,1,3,6,1,1,0.6051690136478453,1,1.0,0.3333333333333333
late,5,5,3,6,1,1,0.556902193558798,1,1.0,0.3333333333333333
late,5,13,3,6,1,0,0.018239079557660992,1,0.0,0.3333333333333333
late,7,13,1,6,3,3,0.4479971650863437,1,1.0,1.0
late,10,13,1,6,2,3,0.49489707774849756,1,1.0,1.0
late,10,6,1,6,5,3,0.7122209424564774,1,1.0,1.0
late,12,14,1,6,2,3,0.31204006101575443,1,0.0,1.0
late,13,13,1,6,3,3,0.32133736558444076,1,0.0,1.0
late,14,14,6,6,3,0,0.019118471667838786,1,0.0,0.16666666666666666
late,14,14,6,6,3,3,0.3110756055763619,5,0.0,0.8333333333333334
late,1,1,7,7,1,1,0.6749490865221262,3,0.6666666666666666,0.42857142857142855
late,1,2,7,7,1,1,0.652689607653561,3,1.0,0.42857142857142855
late,1,13,7,7,1,3,0.40871906019315024,1,1.0,0.14285714285714285
late,2,1,4,7,1,1,0.6433779668446405,1,1.0,0.25
late,2,13,4,7,1,3,0.3654849102980908,2,0.5,0.5
late,2,14,4,7,1,1,0.31551093637899397,1,0.0,0.25
late,3,3,2,7,2,2,0.7272065437544045,2,1.0,1.0
late,4,2,1,7,1,1,0.7396872911852678,1,1.0,1.0
late,10,2,3,7,2,1,0.6900408174692987,3,1.0,1.0
late,11,1,3,7,2,1,0.7751544893809998,1,1.0,0.3333333333333333
late,11,4,3,7,2,0,0.02301787161292355,1,0.0,0.3333333333333333
late,11,10,3,7,2,2,0.6922974464335457,1,0.0,0.3333333333333333
late,13,13,1,7,3,0,0.02384302937658642,1,0.0,1.0
late,1,1,35,8,1,0,0.01674005031594122,1,0.0,0.02857142857142857
late,1,1,35,8,1,1,0.6381354623254485,21,0.6190476190476191,0.6
late,1,5,35,8,1,1,0.6075331781336372,9,0.6666666666666666,0.2571428571428571
late,1,6,35,8,1,3,0.6190826568606349,2,1.0,0.05714285714285714
late,1,13,35,8,1,3,0.3837360066495401,2,0.0,0.05714285714285714
late,2,1,6,8,1,1,0.5923250724017856,2,0.5,0.3333333333333333
late,2,2,6,8,1,1,0.5675438748135799,2,1.0,0.3333333333333333
late,2,5,6,8,1,1,0.5510022270348881,1,1.0,0.16666666666666666
late,2,12,6,8,1,3,0.49580980105372235,1,0.0,0.16666666666666666
late,3,3,1,8,2,2,0.6646513381772057,1,1.0,1.0
late,5,1,15,8,1,1,0.6159995694764072,2,0.5,0.13333333333333333
late,5,2,15,8,1,0,0.018775321319140625,1,0.0,0.06666666666666667
late,5,2,15,8,1,1,0.5797115542354915,2,0.5,0.13333333333333333
late,5,5,15,8,1,0,0.018908570140409,1,0.0,0.06666666666666667
late,5,5,15,8,1,1,0.5688847276962649,5,0.6,0.3333333333333333
late,5,6,15,8,1,3,0.5876490871462595,3,1.0,0.2
late,5,13,15,8,1,3,0.33988120045874587,1,0.0,0.06666666666666667
late,6,1,12,8,3,1,0.6146031134037688,5,0.8,0.4166666666666667
late,6,5,12,8,3,1,0.5588981006317211,1,0.0,0.08333333333333333
late,6,6,12,8,3,0,0.018982856533368706,1,0.0,0.08333333333333333
late,6,6,12,8,3,3,0.5804872987240547,2,1.0,0.16666666666666666
late,6,13,12,8,3,3,0.30649960924170067,3,0.3333333333333333,0.25
late,10,1,7,8,2,1,0.6947219932176613,2,0.5,0.2857142857142857
late,10,2,7,8,2,1,0.6636219031723287,2,0.0,0.2857142857142857
late,10,6,7,8,2,3,0.6752799344298133,1,1.0,0.14285714285714285
late,10,13,7,8,2,3,0.4913824899632066,2,0.5,0.2857142857142857
late,10,2,1,8,3,1,0.6583325610747096,1,1.0,1.0
late,11,10,1,8,2,2,0.6433948883685695,1,1.0,1.0
late,11,13,1,8,3,3,0.36177883195497845,1,0.0,1.0
late,13,1,4,8,3,1,0.5651467267004594,2,1.0,0.5
late,13,5,4,8,3,1,0.5297846199850383,1,0.0,0.25
late,13,6,4,8,3,3,0.5519607876952703,1,0.0,0.25
late,14,14,1,8,1,1,0.24519697206644742,1,1.0,1.0
late,1,3,1,9,1,3,0.5889373420250905,1,0.0,1.0
late,1,1,12,10,1,0,0.015994957452675884,1,0.0,0.08333333333333333
late,1,1,12,10,1,1,0.6335701312274207,6,0.5,0.5
late,1,2,12,10,1,1,0.6050283942482652,1,0.0,0.08333333333333333
late,1,3,12,10,1,2,0.6555972587547552,1,0.0,0.08333333333333333
late,1,6,12,10,1,3,0.6143265933459063,2,0.5,0.16666666666666666
late,1,13,12,10,1,3,0.3856691598890742,1,0.0,0.08333333333333333
late,2,1,3,10,1,1,0.5881573217677002,2,1.0,0.6666666666666666
late,2,10,3,10,1,2,0.49622383590489477,1,0.0,0.3333333333333333
late,4,1,1,10,4,1,0.8352498595877007,1,1.0,1.0
late,7,1,3,10,1,1,0.7188691198128815,2,1.0,0.6666666666666666
late,7,13,3,10,1,3,0.49525125681124677,1,0.0,0.3333333333333333
late,10,1,3,10,2,1,0.6852312971875779,2,1.0,0.6666666666666666
late,10,13,3,10,2,3,0.47783225454260564,1,0.0,0.3333333333333333
late,10,1,2,10,3,1,0.6841414297291787,1,0.0,0.5
late,10,13,2,10,3,3,0.3336107633962907,1,1.0,0.5
late,11,1,1,10,2,1,0.7394707454976841,1,1.0,1.0
late,13,1,11,10,3,1,0.5637003749631199,3,0.6666666666666666,0.2727272727272727
late,13,2,11,10,3,1,0.5372708214493249,2,0.5,0.18181818181818182
late,13,6,11,10,3,3,0.5484469225722388,1,1.0,0.09090909090909091
late,13,13,11,10,3,3,0.31394793291582995,4,0.25,0.36363636363636365
late,13,14,11,10,3,1,0.24035543507536528,1,0.0,0.09090909090909091
late,1,1,88,11,1,1,0.5580652412338181,40,0.625,0.45454545454545453
late,1,2,88,11,1,1,0.5338324284465296,5,0.2,0.056818181818181816
late,1,3,88,11,1,3,0.6170273486432124,15,0.7333333333333333,0.17045454545454544
late,1,5,88,11,1,1,0.5212204854399992,1,1.0,0.011363636363636364
late,1,6,88,11,1,3,0.534583101519115,1,1.0,0.011363636363636364
late,1,10,88,11,1,2,0.4669401727637286,6,0.3333333333333333,0.06818181818181818
late,1,11,88,11,1,2,0.4555838625859844,5,0.6,0.056818181818181816
late,1,11,88,11,1,3,0.4304881855648876,2,0.0,0.022727272727272728
late,1,13,88,11,1,0,0.010424626966634517,2,0.0,0.022727272727272728
late,1,13,88,11,1,3,0.2873746783606722,11,0.2727272727272727,0.125
late,2,1,5,11,1,1,0.521916341130861,1,1.0,0.2
late,2,2,5,11,1,1,0.5013539061624017,1,1.0,0.2
late,2,3,5,11,1,3,0.6105587919390337,1,1.0,0.2
late,2,11,5,11,1,2,0.4110459292682848,2,0.5,0.4
late,3,1,16,11,3,1,0.5254104405242578,5,0.4,0.3125
late,3,2,16,11,3,1,0.5083531089990757,4,0.75,0.25
late,3,3,16,11,3,3,0.6402741159169519,5,1.0,0.3125
late,3,11,16,11,3,3,0.4075364207030807,1,1.0,0.0625
late,3,14,16,11,3,3,0.21376468441844895,1,0.0,0.0625
late,4,11,1,11,1,3,0.5241500620455244,1,1.0,1.0
late,5,1,4,11,1,1,0.5536525402491334,1,0.0,0.25
late,5,13,4,11,1,3,0.2841347797278255,3,0.0,0.75
late,6,2,2,11,3,1,0.49125100980803127,1,0.0,0.5
late,6,3,2,11,3,3,0.5334912225483633,1,0.0,0.5
late,7,2,2,11,1,1,0.6250018756266627,1,0.0,0.5
late,7,5,2,11,1,1,0.6197474825672067,1,1.0,0.5
late,10,1,21,11,2,1,0.6178112979721547,16,0.875,0.7619047619047619
late,10,5,21,11,2,1,0.5853863225861422,2,0.5,0.09523809523809523
late,10,10,21,11,2,3,0.5127357061164319,1,1.0,0.047619047619047616
late,10,13,21,11,2,3,0.38362868757815455,2,0.0,0.09523809523809523
late,10,1,4,11,3,1,0.6146486556832622,1,0.0,0.25
late,10,13,4,11,3,0,0.012747067010740751,1,0.0,0.25
late,10,13,4,11,3,3,0.3206446799839936,2,0.0,0.5
late,11,1,5,11,2,1,0.6566532443518245,1,0.0,0.2
late,11,6,5,11,2,0,0.011317378985644215,1,0.0,0.2
