A1_actionId,C_actionId,B1_actionId,phase,n_context,p_b_given_a_context_mean,p_b_given_a_context_std,p_win_given_abc_mean,p_win_given_abc_std,p_win_given_abc_min,p_win_given_abc_max
1,1,1,late,3238,0.06858951963181185,0.005943126419886479,0.5056925020017057,0.09894537889677231,0.00122709886636585,0.7612962126731873
1,1,2,late,3238,0.18719755715312436,0.03670801611527306,0.5335556266525857,0.10615083618162134,0.0012270567240193486,0.7908118367195129
1,1,3,late,3238,0.02265156906576743,0.006024763200110867,0.5088187417407967,0.10311511414010319,0.0011117963586002588,0.7967640161514282
1,1,4,late,3238,0.0006830261700257269,0.0009657912497692808,0.5633167336007334,0.11232238780065588,0.0013355992268770933,0.8129648566246033
1,1,5,late,3238,0.09617871513257951,0.019097332263935226,0.5722050761608114,0.11623900939916944,0.0013104135869070888,0.8287708759307861
1,1,6,late,3238,0.11931136468985451,0.03207846128631582,0.5613322575285241,0.11610915676799152,0.0011526616290211678,0.8279327750205994
1,1,7,late,3238,0.0009492677977924291,0.0009990918706716113,0.5691762119229987,0.11569169430392431,0.0013715997338294983,0.8229319453239441
1,1,8,late,3238,0.0024868620354625086,0.0011547780970210708,0.6624339797622205,0.1315571749118292,0.0016647878801450133,0.8701940774917603
1,1,9,late,3238,0.009445825580366315,0.0031666619309664713,0.5526018025492473,0.11233206817638469,0.0011137600522488356,0.7997308969497681
1,1,10,late,3238,0.010136742065180053,0.00167511372679636,0.6211822257554311,0.12397545007239516,0.0014040960231795907,0.8512446880340576
1,1,11,late,3238,0.0024940031525685904,0.0012618368329810133,0.6021734538065356,0.1210452984345153,0.0013279541162773967,0.8337244987487793
1,1,12,late,3238,0.15051115588777614,0.023091377805537314,0.5846823105597759,0.11867818410589544,0.0013431872939690948,0.822987973690033
1,1,13,late,3238,0.3082143786244912,0.02557424194683257,0.6627101114432419,0.132556849137927,0.0015501539455726743,0.8771505951881409
1,1,14,late,3238,0.02075344719658133,0.002872943828762353,0.7093071665672656,0.14312738496788077,0.0017156359972432256,0.909915566444397
1,1,16,late,3238,0.0003965658166180101,0.0009567807103526814,0.7093071665672656,0.14312738496788077,0.0017156359972432256,0.909915566444397
1,2,1,late,3238,0.06858951963181185,0.005943126419886479,0.46025460534057466,0.08922234655377002,0.0011180839501321316,0.7560114860534668
1,2,2,late,3238,0.18719755715312436,0.03670801611527306,0.5096558336073755,0.10092496307245057,0.0011583036975935102,0.7865827083587646
1,2,3,late,3238,0.02265156906576743,0.006024763200110867,0.4791775119476972,0.10034048365799997,0.0009714951738715172,0.8036317825317383
1,2,4,late,3238,0.0006830261700257269,0.0009657912497692808,0.5301110079909495,0.10664413875259506,0.0012115280842408538,0.8127747774124146
1,2,5,late,3238,0.09617871513257951,0.019097332263935226,0.5411756020587242,0.11033487276699645,0.0012068880023434758,0.8158361911773682
1,2,6,late,3238,0.11931136468985451,0.03207846128631582,0.5298334731928699,0.1107928366593116,0.0010246227029711008,0.8134685158729553
1,2,7,late,3238,0.0009492677977924291,0.0009990918706716113,0.5400217675103535,0.11019291512054306,0.0012731228489428759,0.8089026808738708
1,2,8,late,3238,0.0024868620354625086,0.0011547780970210708,0.6453446049956588,0.12846875551343978,0.0016064995434135199,0.8646321892738342
1,2,9,late,3238,0.009445825580366315,0.0031666619309664713,0.5025003564797778,0.10366908795441897,0.0009282955434173346,0.772656261920929
1,2,10,late,3238,0.010136742065180053,0.00167511372679636,0.6112826161307382,0.12119318354031197,0.0013794202823191881,0.8454069495201111
1,2,11,late,3238,0.0024940031525685904,0.0012618368329810133,0.5904204471358857,0.11780102402562037,0.0012926365016028285,0.8325700759887695
1,2,12,late,3238,0.15051115588777614,0.023091377805537314,0.5726939951986235,0.11554514820878707,0.0011908283922821283,0.8244381546974182
1,2,13,late,3238,0.3082143786244912,0.02557424194683257,0.6587441374864955,0.13096140914897345,0.0016189165180549026,0.8778528571128845
1,2,14,late,3238,0.02075344719658133,0.002872943828762353,0.7323918543754426,0.14417153724102308,0.0018577431328594685,0.9200189709663391
1,2,16,late,3238,0.0003965658166180101,0.0009567807103526814,0.7323918543754426,0.14417153724102308,0.0018577431328594685,0.9200189709663391
1,3,1,late,3238,0.06858951963181185,0.005943126419886479,0.4974134098751375,0.09733987262646711,0.001203597174026072,0.7888513207435608
1,3,2,late,3238,0.18719755715312436,0.03670801611527306,0.5237195712061288,0.10366245779094461,0.0011732230195775628,0.8054949641227722
1,3,3,late,3238,0.02265156906576743,0.006024763200110867,0.4973012413791095,0.10914484095721234,0.0009593743598088622,0.8228099942207336
