A1_actionId,C_actionId,A1_playerId,use_count,win_rate,usage_share
0,1,3,9,0.5555555555555556,0.008144796380090498
0,1,7,7,0.42857142857142855,0.006334841628959276
0,1,14,9,0.8888888888888888,0.008144796380090498
0,1,19,30,0.6666666666666666,0.027149321266968326
0,1,21,10,0.9,0.00904977375565611
0,1,22,13,0.6153846153846154,0.011764705882352941
0,1,23,10,0.4,0.00904977375565611
0,1,26,7,0.42857142857142855,0.006334841628959276
0,1,30,8,0.5,0.007239819004524887
0,1,33,4,0.75,0.0036199095022624436
0,1,35,12,0.4166666666666667,0.01085972850678733
0,1,39,31,0.5161290322580645,0.028054298642533938
0,1,43,16,0.8125,0.014479638009049774
0,1,44,11,0.7272727272727273,0.009954751131221719
0,1,45,11,0.45454545454545453,0.009954751131221719
0,1,51,4,0.5,0.0036199095022624436
0,1,54,10,0.7,0.00904977375565611
0,1,56,3,0.6666666666666666,0.0027149321266968325
0,1,57,16,0.5625,0.014479638009049774
0,1,59,19,0.47368421052631576,0.017194570135746608
0,1,62,4,0.75,0.0036199095022624436
0,1,65,9,0.5555555555555556,0.008144796380090498
0,1,67,4,0.75,0.0036199095022624436
0,1,69,25,0.48,0.02262443438914027
0,1,70,101,0.5346534653465347,0.09140271493212669
0,1,72,62,0.5483870967741935,0.056108597285067875
0,1,74,22,0.6363636363636364,0.019909502262443438
0,1,78,2,0.5,0.0018099547511312218
0,1,88,16,0.625,0.014479638009049774
0,1,90,16,0.625,0.014479638009049774
0,1,94,10,0.5,0.00904977375565611
0,1,96,126,0.6031746031746031,0.11402714932126697
0,1,97,16,0.5625,0.014479638009049774
0,1,107,12,0.5,0.01085972850678733
0,1,111,17,0.5882352941176471,0.015384615384615385
0,1,112,1,1.0,0.0009049773755656109
0,1,115,35,0.5428571428571428,0.03167420814479638
0,1,122,9,0.4444444444444444,0.008144796380090498
0,1,128,92,0.5217391304347826,0.0832579185520362
0,1,129,85,0.5411764705882353,0.07692307692307693
0,1,131,8,0.5,0.007239819004524887
0,1,133,46,0.45652173913043476,0.0416289592760181
0,1,135,12,0.75,0.01085972850678733
0,1,136,84,0.5357142857142857,0.0760180995475113
0,1,137,6,0.6666666666666666,0.005429864253393665
0,1,139,3,0.3333333333333333,0.0027149321266968325
0,1,157,25,0.48,0.02262443438914027
0,1,158,17,0.6470588235294118,0.015384615384615385
0,2,3,11,0.45454545454545453,0.016923076923076923
0,2,7,6,0.6666666666666666,0.009230769230769232
0,2,14,17,0.5882352941176471,0.026153846153846153
0,2,19,39,0.4358974358974359,0.06
0,2,22,6,0.5,0.009230769230769232
0,2,23,11,0.6363636363636364,0.016923076923076923
0,2,26,2,0.5,0.003076923076923077
0,2,28,1,0.0,0.0015384615384615385
0,2,30,6,0.8333333333333334,0.009230769230769232
0,2,33,2,1.0,0.003076923076923077
0,2,35,3,0.6666666666666666,0.004615384615384616
0,2,39,2,0.5,0.003076923076923077
0,2,43,8,0.5,0.012307692307692308
0,2,44,5,0.4,0.007692307692307693
0,2,45,6,0.5,0.009230769230769232
0,2,54,2,0.5,0.003076923076923077
0,2,59,11,0.36363636363636365,0.016923076923076923
0,2,65,4,0.25,0.006153846153846154
0,2,67,7,0.42857142857142855,0.010769230769230769
0,2,69,30,0.4666666666666667,0.046153846153846156
0,2,70,52,0.46153846153846156,0.08
0,2,72,23,0.43478260869565216,0.03538461538461538
0,2,74,26,0.5769230769230769,0.04
0,2,88,22,0.5454545454545454,0.033846153846153845
0,2,90,4,0.75,0.006153846153846154
0,2,96,82,0.4634146341463415,0.12615384615384614
0,2,97,14,0.2857142857142857,0.021538461538461538
0,2,107,15,0.5333333333333333,0.023076923076923078
0,2,111,3,0.3333333333333333,0.004615384615384616
0,2,115,18,0.3888888888888889,0.027692307692307693
0,2,122,20,0.55,0.03076923076923077
0,2,128,27,0.5185185185185185,0.04153846153846154
0,2,129,13,0.6153846153846154,0.02
0,2,131,8,0.5,0.012307692307692308
0,2,133,44,0.5454545454545454,0.06769230769230769
0,2,135,1,1.0,0.0015384615384615385
0,2,136,67,0.3880597014925373,0.10307692307692308
0,2,137,5,0.2,0.007692307692307693
0,2,157,17,0.6470588235294118,0.026153846153846153
0,2,158,10,0.2,0.015384615384615385
0,3,14,1,0.0,0.015151515151515152
0,3,19,1,0.0,0.015151515151515152
0,3,21,5,0.6,0.07575757575757576
0,3,22,2,1.0,0.030303030303030304
0,3,43,1,1.0,0.015151515151515152
0,3,49,7,0.8571428571428571,0.10606060606060606
0,3,57,6,0.8333333333333334,0.09090909090909091
0,3,67,1,1.0,0.015151515151515152
0,3,70,1,1.0,0.015151515151515152
0,3,72,1,1.0,0.015151515151515152
0,3,74,1,0.0,0.015151515151515152
0,3,78,3,0.3333333333333333,0.045454545454545456
0,3,94,2,0.5,0.030303030303030304
0,3,96,5,0.8,0.07575757575757576
0,3,111,4,0.75,0.06060606060606061
0,3,115,4,0.25,0.06060606060606061
0,3,128,2,0.5,0.030303030303030304
0,3,129,1,1.0,0.015151515151515152
0,3,133,2,1.0,0.030303030303030304
0,3,136,10,0.7,0.15151515151515152
0,3,139,5,0.6,0.07575757575757576
0,3,155,1,0.0,0.015151515151515152
0,4,19,10,0.8,0.10752688172043011
0,4,23,3,0.3333333333333333,0.03225806451612903
0,4,35,7,0.7142857142857143,0.07526881720430108
0,4,39,1,0.0,0.010752688172043012
0,4,54,2,1.0,0.021505376344086023
0,4,62,1,1.0,0.010752688172043012
0,4,70,7,0.14285714285714285,0.07526881720430108
0,4,72,13,0.5384615384615384,0.13978494623655913
