B1_playerId,A1_actionId,C_actionId,B1_actionId,phase,n_context,p_b_given_a_context_mean,p_b_given_a_context_std,p_win_given_abc_mean,p_win_given_abc_std,p_win_given_abc_min,p_win_given_abc_max
0,15,1,0,front3,21,0.007544042686615972,0.0,0.5015421775907175,0.11246633366953089,0.016050726639493702,0.5491405680518056
0,15,1,1,front3,21,0.16642338780993965,0.0,0.5015421775907175,0.11246633366953089,0.016050726639493702,0.5491405680518056
0,15,1,3,front3,21,0.009381147600299384,0.0,0.49319161832842323,0.11035011314706644,0.01779651681714536,0.550849717798036
0,15,1,4,front3,21,0.15877861942721766,0.0,0.5181683020561907,0.1161622431670043,0.015975556728045227,0.5712833956079735
0,15,1,6,front3,21,0.03876895199616289,0.0,0.5261590106740877,0.11789433819900091,0.015691186654220545,0.577748541681531
0,15,1,7,front3,21,0.06038267900740041,0.0,0.5212699935801698,0.11691761190449912,0.015428587057803552,0.5740510807152139
0,15,1,8,front3,21,0.010788612180283751,0.0,0.5020482425518583,0.11285980109426198,0.015428587057803552,0.5576023856184043
0,15,1,9,front3,21,0.015431242146140936,0.0,0.4986039323509762,0.11193524312935499,0.015388581060557401,0.5517605652260602
0,15,1,10,front3,21,0.30469094429994303,0.0,0.5576827059780579,0.12508083612526594,0.015388581060557401,0.6105297992370777
0,15,1,11,front3,21,0.18300643477434397,0.0,0.592879200986507,0.13532381179355396,0.015388581060557401,0.6551228691241533
0,15,1,12,front3,21,0.04480393807165246,0.0,0.5937150545317214,0.13509051105545963,0.016266867204290658,0.6544502611519742
0,15,2,0,front3,21,0.007544042686615972,0.0,0.47005874024732686,0.10536276194204135,0.016056305863541027,0.5244106507009123
0,15,2,1,front3,21,0.16642338780993965,0.0,0.47005874024732686,0.10536276194204135,0.01605630586354101,0.5244106507009123
0,15,2,3,front3,21,0.009381147600299384,0.0,0.46217219506085594,0.10403542503116706,0.017641202845139096,0.5261298884427207
0,15,2,4,front3,21,0.15877861942721766,0.0,0.48720789806746445,0.10932814017180917,0.015833948962902588,0.5467201007283211
0,15,2,6,front3,21,0.03876895199616289,0.0,0.4924520299599334,0.11039938488095312,0.015551745055941054,0.5503330651587259
0,15,2,7,front3,21,0.06038267900740041,0.0,0.48710277886989994,0.10929040805301049,0.015291152227224157,0.5457942117991386
0,15,2,8,front3,21,0.010788612180283751,0.0,0.4782588874921549,0.10778136851679464,0.015291152227224157,0.5402695073654821
0,15,2,9,front3,21,0.015431242146140936,0.0,0.4748078605209668,0.10643544342140647,0.015251452501279142,0.5308922266613992
0,15,2,10,front3,21,0.30469094429994303,0.0,0.5342642516377166,0.11993305802227862,0.015251452501279142,0.5902166631999577
0,15,2,11,front3,21,0.18300643477434397,0.0,0.5700317410435951,0.13014360648999437,0.015251452501279131,0.6355506145667391
0,15,2,12,front3,21,0.04480393807165246,0.0,0.57086720140022,0.13002202204216862,0.016115389585392204,0.634864717326813
0,15,3,0,front3,21,0.007544042686615972,0.0,0.4831215845306473,0.1087872544835113,0.016056305863541027,0.5456303009835707
0,15,3,1,front3,21,0.16642338780993965,0.0,0.4831215845306473,0.1087872544835113,0.016056305863541027,0.5456303009835707
0,15,3,3,front3,21,0.009381147600299384,0.0,0.4752260708169485,0.10745431177662085,0.017641202845139082,0.5473412876553464
0,15,3,4,front3,21,0.15877861942721766,0.0,0.500254561988278,0.11261337610401644,0.015833948962902588,0.567802010689574
0,15,3,6,front3,21,0.03876895199616289,0.0,0.5054911689050117,0.11363655172264697,0.015551745055941016,0.5713864098923311
0,15,3,7,front3,21,0.06038267900740041,0.0,0.4991857956429949,0.11227272419306204,0.015291152227224132,0.5648543273096092
0,15,3,8,front3,21,0.010788612180283751,0.0,0.4913071892037344,0.11139524103874558,0.015291152227224132,0.5635098295209406
0,15,3,9,front3,21,0.015431242146140936,0.0,0.4878737550767738,0.10941778448047779,0.015251452501279142,0.5520787098742718
0,15,3,10,front3,21,0.30469094429994303,0.0,0.5471485007876499,0.12280434439147143,0.015251452501279142,0.610838235031391
0,15,3,11,front3,21,0.18300643477434397,0.0,0.5802287286922561,0.13188888748549413,0.015251452501279142,0.6529612547965441
0,15,3,12,front3,21,0.04480393807165246,0.0,0.5810591387524657,0.1317921358571797,0.016115389585392204,0.652287086527548
0,15,4,0,front3,21,0.007544042686615972,0.0,0.4945903113283453,0.11109770132238247,0.016056305863541027,0.5542592794939658
0,15,4,1,front3,21,0.16642338780993965,0.0,0.4945903113283453,0.11109770132238247,0.016056305863541027,0.5542592794939658
0,15,4,3,front3,21,0.009381147600299384,0.0,0.4866892635862497,0.10948439207846203,0.017641202845139096,0.5559486690201362
0,15,4,4,front3,21,0.15877861942721766,0.0,0.5116941048963446,0.11491931899744195,0.015833948962902574,0.576340188764098
0,15,4,6,front3,21,0.03876895199616289,0.0,0.516564215057452,0.11590083917562637,0.015551745055941054,0.5792212839546383
0,15,4,7,front3,21,0.06038267900740041,0.0,0.5102727487319045,0.11453647642022693,0.015291152227224157,0.5727128778692769
0,15,4,8,front3,21,0.010788612180283751,0.0,0.501833613733777,0.1133944262889612,0.015291152227224157,0.5685113348828332
0,15,4,9,front3,21,0.015431242146140936,0.0,0.4984059038331126,0.1116900770268147,0.015251452501279142,0.5579915076139651
0,15,4,10,front3,21,0.30469094429994303,0.0,0.5574970786985277,0.1248875127606632,0.015251452501279142,0.6165637929366625
0,15,4,11,front3,21,0.18300643477434397,0.0,0.5742953415653135,0.1299630665178825,0.015251452501279142,0.6381143204333081
0,15,4,12,front3,21,0.04480393807165246,0.0,0.5739372926777245,0.12940176953826185,0.016115389585392204,0.6333008445038508
0,15,5,0,front3,21,0.007544042686615972,0.0,0.4468650298456932,0.10153688863412702,0.015974247053606113,0.5143641288292603
0,15,5,1,front3,21,0.16642338780993965,0.0,0.4468650298456932,0.10153688863412702,0.015974247053606113,0.5143641288292603
0,15,5,3,front3,21,0.009381147600299384,0.0,0.4157430565928773,0.09346343124336721,0.017641202845139096,0.48093770112881196
0,15,5,4,front3,21,0.15877861942721766,0.0,0.4788900028203022,0.10737472555108941,0.015833948962902588,0.5297824102347295
0,15,5,6,front3,21,0.03876895199616289,0.0,0.4847116870680577,0.10854089042941356,0.015551745055941016,0.5317206348957837
