A1_actionId,A1_spinId,C_actionId,C_spinId,B1_actionId,phase,n_context,p_b_given_a_context_mean,p_b_given_a_context_std,p_win_given_abc_mean,p_win_given_abc_std,p_win_given_abc_min,p_win_given_abc_max
1,1,1,0,1,late,3233,0.06856937361675809,0.005924651385519035,0.0014619851875082327,0.00012784619033946737,0.0012234633322805166,0.002428968669846654
1,1,1,0,2,late,3233,0.1872905907875898,0.036657857664472986,0.0015658197120858135,0.00013913171677459372,0.001202072249725461,0.001888546859845519
1,1,1,0,3,late,3233,0.02262525080527077,0.005991408077620192,0.0014447664591462743,0.00018681829109000727,0.0010342937894165516,0.0018101618625223637
1,1,1,0,4,late,3233,0.0006543222704982858,0.0006324392114839789,0.0016719530319778881,8.696933551627655e-05,0.0013355992268770933,0.0018880176357924938
1,1,1,0,5,late,3233,0.09615822096195016,0.019100075856711717,0.0016986943031391869,0.000140689025044711,0.001307581551373005,0.0019451689440757036
1,1,1,0,6,late,3233,0.11932283362471063,0.0321007030665817,0.00164807174070901,0.00016182195357013188,0.0011382716475054622,0.0019138787174597383
1,1,1,0,7,late,3233,0.0009205697729714805,0.0006824399270905581,0.0016967326891226848,0.00011909848254487189,0.0013715997338294983,0.001912236213684082
1,1,1,0,8,late,3233,0.0024603856457314295,0.0009386021697586957,0.002153062004324635,0.00016141415488615276,0.0016647878801450133,0.0025009699165821075
1,1,1,0,9,late,3233,0.00942378884644356,0.003118985434452406,0.0015109830225987532,0.00013949303874715712,0.0011137600522488356,0.001784919761121273
1,1,1,0,10,late,3233,0.01008931356813059,0.0011507766960426157,0.0017200515032902894,9.319560238580372e-05,0.0014040960231795907,0.001918869442306459
1,1,1,0,11,late,3233,0.0024579367908950846,0.0008630819976159615,0.0015753959354555924,9.023231047753023e-05,0.001279529882594943,0.0020463119726628065
1,1,1,0,12,late,3233,0.15057226543392496,0.023052976371758616,0.0016058388126448276,9.869347889719943e-05,0.0012883897870779037,0.0018756248755380511
1,1,1,0,13,late,3233,0.3083656102309609,0.025302781888116493,0.0019285874928100316,0.0001794495338835172,0.0012584793148562312,0.002746025798842311
1,1,1,0,14,late,3233,0.020721365823632036,0.002746030290858229,0.002227395209329686,0.0003402310226570186,0.0013981295051053166,0.003197185928002
1,1,1,0,16,late,3233,0.00036817182053220705,0.0006277769575622086,0.002227395209329686,0.0003402310226570186,0.0013981295051053166,0.003197185928002
1,1,1,1,1,late,3233,0.06856937361675809,0.005924651385519035,0.5135928811836714,0.02261984024365037,0.4222296178340912,0.6234844326972961
1,1,1,1,2,late,3233,0.1872905907875898,0.036657857664472986,0.5323006595726025,0.026033098312688584,0.4193570911884308,0.5860673189163208
1,1,1,1,3,late,3233,0.02262525080527077,0.005991408077620192,0.512894069239557,0.03789104013522006,0.40076884627342224,0.5809469819068909
1,1,1,1,4,late,3233,0.0006543222704982858,0.0006324392114839789,0.557555613532879,0.02379982916187215,0.46173787117004395,0.6208348870277405
1,1,1,1,5,late,3233,0.09615822096195016,0.019100075856711717,0.5633540700324873,0.029208565732439108,0.45934751629829407,0.6176899671554565
1,1,1,1,6,late,3233,0.11932283362471063,0.0321007030665817,0.5515187835586429,0.03472649475130119,0.4237115681171417,0.6098718047142029
1,1,1,1,7,late,3233,0.0009205697729714805,0.0006824399270905581,0.5593812682294566,0.026636505637169666,0.46669164299964905,0.6170909404754639
1,1,1,1,8,late,3233,0.0024603856457314295,0.0009386021697586957,0.6555901922532142,0.026056082234875128,0.5655109882354736,0.7234215140342712
1,1,1,1,9,late,3233,0.00942378884644356,0.003118985434452406,0.5440575783462153,0.026658685997575246,0.43667149543762207,0.5867153406143188
1,1,1,1,10,late,3233,0.01008931356813059,0.0011507766960426157,0.6132342820192614,0.02297106730133338,0.5258418917655945,0.6695588231086731
1,1,1,1,11,late,3233,0.0024579367908950846,0.0008630819976159615,0.5929691742862521,0.02155917921868868,0.5150668025016785,0.6798583269119263
1,1,1,1,12,late,3233,0.15057226543392496,0.023052976371758616,0.573137755166109,0.022794850393135457,0.49970752000808716,0.6355966925621033
