A1_actionId,C_actionId,EV,count,usage_rate
0,1,0.528104102155976,1105,0.2820316488004084
0,2,0.4769349549216374,650,0.16590096988259315
0,3,0.5589581873591662,66,0.016845329249617153
0,4,0.5729592557141735,93,0.023736600306278714
0,5,0.5363806504426164,165,0.04211332312404288
0,6,0.5217027723819351,342,0.08728943338437979
0,7,0.47093433547821784,149,0.03802960694231751
0,8,0.4022025155400012,8,0.002041858090862685
0,10,0.4418539137658037,593,0.15135273098519653
0,11,0.4522205851157061,277,0.07069933639612047
0,12,0.4711447609119455,138,0.03522205206738132
0,13,0.33498184628689615,332,0.08473711077080143
15,1,0.5198610521065833,3224,0.350587211831231
15,2,0.4757816489527611,671,0.0729665071770335
15,3,0.5274529608867286,173,0.018812527185732928
15,4,0.5435771479819536,206,0.02240104393214441
15,5,0.4957719401979781,539,0.05861244019138756
15,6,0.5215175974076282,968,0.10526315789473684
15,7,0.49566572338065756,219,0.023814702044367118
15,8,0.3925600671965025,65,0.007068290561113528
15,9,0.49833327802784344,72,0.0078294910830796
15,10,0.42451522151229526,1385,0.15060896041757285
15,11,0.4388009626503753,592,0.06437581557198782
15,12,0.429691160003713,342,0.0371900826446281
15,13,0.3372729411230331,729,0.07927359721618095
15,14,0.282933624145058,11,0.0011961722488038277
16,1,0.495714183047556,708,0.3854109961894393
16,2,0.4833556152610141,138,0.07512248230811105
16,3,0.5372180157480857,63,0.03429504627109418
16,4,0.542809085438985,21,0.011431682090364725
16,5,0.5108811627088802,144,0.0783886771910724
16,6,0.5250059028862963,234,0.12738160043549265
16,7,0.5057826820155636,79,0.04300489929232444
16,8,0.40257853025694285,10,0.005443658138268917
16,10,0.4339800197070584,190,0.10342950462710941
16,11,0.4306492315304839,78,0.04246053347849755
16,12,0.4345455897614718,15,0.008165487207403375
16,13,0.3872286705622927,157,0.085465432770822
17,1,0.49983755859117684,269,0.45058626465661644
17,2,0.5070936086394637,30,0.05025125628140704
17,3,0.561476373278756,21,0.035175879396984924
17,4,0.5746744112962678,8,0.01340033500837521
17,5,0.5433223608526351,39,0.06532663316582915
17,6,0.543848525506806,71,0.11892797319932999
17,7,0.52896542084449,8,0.01340033500837521
17,10,0.4347924109886755,79,0.1323283082077052
17,11,0.45681989967804204,32,0.05360134003350084
17,12,0.4650666477088866,4,0.006700167504187605
17,13,0.42211796897852705,36,0.06030150753768844
18,1,0.3715533546233399,71,0.2689393939393939
18,2,0.44645179117244066,15,0.056818181818181816
18,3,0.5193755333057243,16,0.06060606060606061
18,5,0.5367408249655545,16,0.06060606060606061
18,6,0.506062805110088,44,0.16666666666666666
18,9,0.5114820785848413,9,0.03409090909090909
18,10,0.5063868506144592,57,0.2159090909090909
18,11,0.4932633374071629,1,0.003787878787878788
18,12,0.48905073958334727,18,0.06818181818181818
18,13,0.40555161645769133,17,0.06439393939393939
