A1_actionId,A1_spinId,C_actionId,C_spinId,B1_actionId,phase,n_context,p_b_given_a_context_mean,p_b_given_a_context_std,p_win_given_abc_mean,p_win_given_abc_std,p_win_given_abc_min,p_win_given_abc_max
0,0,1,0,1,receive,1,0.20918110312193147,0.0,0.0010927889961749315,0.0,0.0010927889961749315,0.0010927889961749315
0,0,1,0,2,receive,1,0.08152004123639481,0.0,0.0012957804137840867,0.0,0.0012957804137840867,0.0012957804137840867
0,0,1,0,3,receive,1,0.04325863078371068,0.0,0.001331464503891766,0.0,0.001331464503891766,0.001331464503891766
0,0,1,0,4,receive,1,0.04362771191347933,0.0,0.001526362495496869,0.0,0.001526362495496869,0.001526362495496869
0,0,1,0,5,receive,1,0.062409840517262116,0.0,0.0014165503671392798,0.0,0.0014165503671392798,0.0014165503671392798
0,0,1,0,6,receive,1,0.0879174474857182,0.0,0.0011919633252546191,0.0,0.0011919633252546191,0.0011919633252546191
0,0,1,0,7,receive,1,0.047359532225584644,0.0,0.0012600608170032501,0.0,0.0012600608170032501,0.0012600608170032501
0,0,1,0,8,receive,1,0.035877008188337535,0.0,0.0016073250444605947,0.0,0.0016073250444605947,0.0016073250444605947
0,0,1,0,9,receive,1,0.035671963116243835,0.0,0.0010634115897119045,0.0,0.0010634115897119045,0.0010634115897119045
0,0,1,0,10,receive,1,0.1082579186374131,0.0,0.0013814567355439067,0.0,0.0013814567355439067,0.0013814567355439067
0,0,1,0,11,receive,1,0.08869209612270523,0.0,0.001495487173087895,0.0,0.001495487173087895,0.001495487173087895
0,0,1,0,12,receive,1,0.04912291984559045,0.0,0.001531553571112454,0.0,0.001531553571112454,0.001531553571112454
0,0,1,0,13,receive,1,0.07389236455450923,0.0,0.002348131500184536,0.0,0.002348131500184536,0.002348131500184536
0,0,1,0,14,receive,1,0.03321142225111945,0.0,0.002428770065307617,0.0,0.002428770065307617,0.002428770065307617
0,0,1,1,1,receive,1,0.20918110312193147,0.0,0.36428335309028625,0.0,0.36428335309028625,0.36428335309028625
0,0,1,1,2,receive,1,0.08152004123639481,0.0,0.3876892626285553,0.0,0.3876892626285553,0.3876892626285553
0,0,1,1,3,receive,1,0.04325863078371068,0.0,0.4264385402202606,0.0,0.4264385402202606,0.4264385402202606
0,0,1,1,4,receive,1,0.04362771191347933,0.0,0.4616168141365051,0.0,0.4616168141365051,0.4616168141365051
0,0,1,1,5,receive,1,0.062409840517262116,0.0,0.4376187026500702,0.0,0.4376187026500702,0.4376187026500702
0,0,1,1,6,receive,1,0.0879174474857182,0.0,0.3906407952308655,0.0,0.3906407952308655,0.3906407952308655
0,0,1,1,7,receive,1,0.047359532225584644,0.0,0.4039597809314728,0.0,0.4039597809314728,0.4039597809314728
0,0,1,1,8,receive,1,0.035877008188337535,0.0,0.49838849902153015,0.0,0.49838849902153015,0.49838849902153015
0,0,1,1,9,receive,1,0.035671963116243835,0.0,0.356708288192749,0.0,0.356708288192749,0.356708288192749
0,0,1,1,10,receive,1,0.1082579186374131,0.0,0.4718508720397949,0.0,0.4718508720397949,0.4718508720397949
0,0,1,1,11,receive,1,0.08869209612270523,0.0,0.4971926212310791,0.0,0.4971926212310791,0.4971926212310791
0,0,1,1,12,receive,1,0.04912291984559045,0.0,0.5096356272697449,0.0,0.5096356272697449,0.5096356272697449
0,0,1,1,13,receive,1,0.07389236455450923,0.0,0.6473795771598816,0.0,0.6473795771598816,0.6473795771598816
0,0,1,1,14,receive,1,0.03321142225111945,0.0,0.6680788993835449,0.0,0.6680788993835449,0.6680788993835449
0,0,1,4,1,receive,1,0.20918110312193147,0.0,0.4967644512653351,0.0,0.4967644512653351,0.4967644512653351
0,0,1,4,2,receive,1,0.08152004123639481,0.0,0.6036890149116516,0.0,0.6036890149116516,0.6036890149116516
0,0,1,4,3,receive,1,0.04325863078371068,0.0,0.6045088171958923,0.0,0.6045088171958923,0.6045088171958923
0,0,1,4,4,receive,1,0.04362771191347933,0.0,0.6683327555656433,0.0,0.6683327555656433,0.6683327555656433
0,0,1,4,5,receive,1,0.062409840517262116,0.0,0.6613055467605591,0.0,0.6613055467605591,0.6613055467605591
0,0,1,4,6,receive,1,0.0879174474857182,0.0,0.6196015477180481,0.0,0.6196015477180481,0.6196015477180481
0,0,1,4,7,receive,1,0.047359532225584644,0.0,0.6340998411178589,0.0,0.6340998411178589,0.6340998411178589
0,0,1,4,8,receive,1,0.035877008188337535,0.0,0.7216077446937561,0.0,0.7216077446937561,0.7216077446937561
0,0,1,4,9,receive,1,0.035671963116243835,0.0,0.5669827461242676,0.0,0.5669827461242676,0.5669827461242676
0,0,1,4,10,receive,1,0.1082579186374131,0.0,0.6871010661125183,0.0,0.6871010661125183,0.6871010661125183
0,0,1,4,11,receive,1,0.08869209612270523,0.0,0.7140302658081055,0.0,0.7140302658081055,0.7140302658081055
0,0,1,4,12,receive,1,0.04912291984559045,0.0,0.7270058989524841,0.0,0.7270058989524841,0.7270058989524841
0,0,1,4,13,receive,1,0.07389236455450923,0.0,0.8315252661705017,0.0,0.8315252661705017,0.8315252661705017
0,0,1,4,14,receive,1,0.03321142225111945,0.0,0.8539311289787292,0.0,0.8539311289787292,0.8539311289787292
0,0,2,0,1,receive,1,0.20918110312193147,0.0,0.0008686201181262732,0.0,0.0008686201181262732,0.0008686201181262732
0,0,2,0,2,receive,1,0.08152004123639481,0.0,0.0010818269802257419,0.0,0.0010818269802257419,0.0010818269802257419
0,0,2,0,3,receive,1,0.04325863078371068,0.0,0.0010845217620953918,0.0,0.0010845217620953918,0.0010845217620953918
0,0,2,0,4,receive,1,0.04362771191347933,0.0,0.0012514609843492508,0.0,0.0012514609843492508,0.0012514609843492508
0,0,2,0,5,receive,1,0.062409840517262116,0.0,0.0011724873911589384,0.0,0.0011724873911589384,0.0011724873911589384
0,0,2,0,6,receive,1,0.0879174474857182,0.0,0.000993266818113625,0.0,0.000993266818113625,0.000993266818113625
0,0,2,0,7,receive,1,0.047359532225584644,0.0,0.0010581183014437556,0.0,0.0010581183014437556,0.0010581183014437556
0,0,2,0,8,receive,1,0.035877008188337535,0.0,0.0013723659794777632,0.0,0.0013723659794777632,0.0013723659794777632
0,0,2,0,9,receive,1,0.035671963116243835,0.0,0.000835562648717314,0.0,0.000835562648717314,0.000835562648717314
0,0,2,0,10,receive,1,0.1082579186374131,0.0,0.0011832081945613027,0.0,0.0011832081945613027,0.0011832081945613027
0,0,2,0,11,receive,1,0.08869209612270523,0.0,0.0012318257940933108,0.0,0.0012318257940933108,0.0012318257940933108
0,0,2,0,12,receive,1,0.04912291984559045,0.0,0.001261541503481567,0.0,0.001261541503481567,0.001261541503481567
0,0,2,0,13,receive,1,0.07389236455450923,0.0,0.0019336260156705976,0.0,0.0019336260156705976,0.0019336260156705976
0,0,2,0,14,receive,1,0.03321142225111945,0.0,0.0019131546141579747,0.0,0.0019131546141579747,0.0019131546141579747
0,0,2,1,1,receive,1,0.20918110312193147,0.0,0.2591405510902405,0.0,0.2591405510902405,0.2591405510902405
0,0,2,1,2,receive,1,0.08152004123639481,0.0,0.3030259609222412,0.0,0.3030259609222412,0.3030259609222412
0,0,2,1,3,receive,1,0.04325863078371068,0.0,0.3324771821498871,0.0,0.3324771821498871,0.3324771821498871
0,0,2,1,4,receive,1,0.04362771191347933,0.0,0.36635085940361023,0.0,0.36635085940361023,0.36635085940361023
0,0,2,1,5,receive,1,0.062409840517262116,0.0,0.35419678688049316,0.0,0.35419678688049316,0.35419678688049316
0,0,2,1,6,receive,1,0.0879174474857182,0.0,0.3126746118068695,0.0,0.3126746118068695,0.3126746118068695
0,0,2,1,7,receive,1,0.047359532225584644,0.0,0.3264397978782654,0.0,0.3264397978782654,0.3264397978782654
0,0,2,1,8,receive,1,0.035877008188337535,0.0,0.42049887776374817,0.0,0.42049887776374817,0.42049887776374817
0,0,2,1,9,receive,1,0.035671963116243835,0.0,0.27219071984291077,0.0,0.27219071984291077,0.27219071984291077
0,0,2,1,10,receive,1,0.1082579186374131,0.0,0.4005813002586365,0.0,0.4005813002586365,0.4005813002586365
0,0,2,1,11,receive,1,0.08869209612270523,0.0,0.4156471788883209,0.0,0.4156471788883209,0.4156471788883209
0,0,2,1,12,receive,1,0.04912291984559045,0.0,0.4277856647968292,0.0,0.4277856647968292,0.4277856647968292
0,0,2,1,13,receive,1,0.07389236455450923,0.0,0.5787126421928406,0.0,0.5787126421928406,0.5787126421928406
0,0,2,1,14,receive,1,0.03321142225111945,0.0,0.6005593538284302,0.0,0.6005593538284302,0.6005593538284302
0,0,2,4,1,receive,1,0.20918110312193147,0.0,0.3620798885822296,0.0,0.3620798885822296,0.3620798885822296
0,0,2,4,2,receive,1,0.08152004123639481,0.0,0.49812355637550354,0.0,0.49812355637550354,0.49812355637550354
0,0,2,4,3,receive,1,0.04325863078371068,0.0,0.49280306696891785,0.0,0.49280306696891785,0.49280306696891785
0,0,2,4,4,receive,1,0.04362771191347933,0.0,0.5631886720657349,0.0,0.5631886720657349,0.5631886720657349
0,0,2,4,5,receive,1,0.062409840517262116,0.0,0.5663157105445862,0.0,0.5663157105445862,0.5663157105445862
0,0,2,4,6,receive,1,0.0879174474857182,0.0,0.5230736136436462,0.0,0.5230736136436462,0.5230736136436462
0,0,2,4,7,receive,1,0.047359532225584644,0.0,0.5404203534126282,0.0,0.5404203534126282,0.5404203534126282
0,0,2,4,8,receive,1,0.035877008188337535,0.0,0.6410892605781555,0.0,0.6410892605781555,0.6410892605781555
0,0,2,4,9,receive,1,0.035671963116243835,0.0,0.4545307159423828,0.0,0.4545307159423828,0.4545307159423828
0,0,2,4,10,receive,1,0.1082579186374131,0.0,0.6059162616729736,0.0,0.6059162616729736,0.6059162616729736
0,0,2,4,11,receive,1,0.08869209612270523,0.0,0.6336026787757874,0.0,0.6336026787757874,0.6336026787757874
