phase,A1_actionId,C_actionId,EV,A1_playerId,count,train_winrate,usage_rate
late,2,2,0.5052581627665823,136,154,0.4675324675324675,0.5992217898832685
late,1,1,0.5274335701727296,96,130,0.6461538461538462,0.3857566765578635
late,1,1,0.5319019616767137,128,113,0.584070796460177,0.5485436893203883
late,1,1,0.5473674031377256,136,110,0.4909090909090909,0.3343465045592705
late,12,12,0.5025130417903105,155,99,0.47474747474747475,0.5857988165680473
late,1,2,0.5346673583083771,136,82,0.573170731707317,0.24924012158054712
late,10,13,0.26435142094645303,136,72,0.2777777777777778,0.3564356435643564
late,1,13,0.2628438549693814,96,65,0.2923076923076923,0.19287833827893175
late,11,1,0.5203837119732178,128,63,0.5714285714285714,0.5833333333333334
late,1,1,0.56940785750107,101,62,0.6774193548387096,0.5344827586206896
late,13,2,0.4780354048504052,136,58,0.5,0.4172661870503597
late,4,6,0.5032081229881418,96,58,0.5,0.29896907216494845
late,6,6,0.5586489883549661,64,57,0.5964912280701754,0.5
late,11,1,0.4910288375722598,96,57,0.5263157894736842,0.4418604651162791
late,4,13,0.23967117723657339,96,55,0.23636363636363636,0.28350515463917525
late,2,2,0.5131772197273929,96,54,0.42592592592592593,0.4778761061946903
late,2,2,0.4625336472282,70,53,0.4716981132075472,0.7066666666666667
late,13,13,0.24286789691116098,136,51,0.21568627450980393,0.3669064748201439
late,6,6,0.5619946002259175,21,51,0.43137254901960786,0.375
late,12,12,0.46532567735551855,56,50,0.38,0.78125
late,10,12,0.5191504844069276,155,48,0.5208333333333334,0.48
late,10,2,0.5000893904919894,136,45,0.4,0.22277227722772278
late,10,10,0.5860688434133182,82,45,0.7777777777777778,0.3543307086614173
late,2,1,0.5219561352974703,136,44,0.5454545454545454,0.17120622568093385
late,1,1,0.5984950567500815,64,44,0.6136363636363636,0.3548387096774194
late,1,1,0.5572399550233051,129,44,0.5227272727272727,0.5
late,10,1,0.5142356547244358,136,44,0.5,0.21782178217821782
late,1,2,0.5176156531231386,96,43,0.3023255813953488,0.12759643916913946
late,1,1,0.5950977517300069,111,43,0.5116279069767442,0.6056338028169014
late,13,13,0.1831497995279784,72,42,0.023809523809523808,0.525
late,10,13,0.24597833679889683,96,42,0.14285714285714285,0.3
late,1,1,0.5063650638199384,132,41,0.5853658536585366,0.4606741573033708
late,13,13,0.2705046663398142,153,40,0.15,0.5714285714285714
late,12,12,0.5393434677347241,66,38,0.5526315789473685,0.7755102040816326
late,1,13,0.258261087078265,128,38,0.13157894736842105,0.18446601941747573
late,13,13,0.21275905604614193,96,38,0.21052631578947367,0.3486238532110092
late,10,2,0.4807863586100782,96,38,0.4473684210526316,0.2714285714285714
late,1,13,0.2712691354503909,136,38,0.3157894736842105,0.11550151975683891
late,0,1,0.8684858357750926,96,37,0.8108108108108109,0.3627450980392157
late,1,1,0.5210898104362345,157,37,0.35135135135135137,0.6065573770491803
late,1,5,0.5147745997890681,136,37,0.4864864864864865,0.11246200607902736
late,10,13,0.2568513041547296,128,35,0.2571428571428571,0.3017241379310345
late,1,1,0.46849383726061694,70,35,0.5714285714285714,0.33653846153846156
late,11,1,0.5560746062001579,111,34,0.6176470588235294,0.5396825396825397
late,13,2,0.4419631172764972,96,34,0.4117647058823529,0.3119266055045872
late,10,3,0.6548482081637345,82,34,0.8235294117647058,0.2677165354330709
late,6,6,0.4908311690820315,72,33,0.42424242424242425,0.4520547945205479
late,1,1,0.4735757570243933,115,33,0.42424242424242425,0.4074074074074074
late,6,13,0.29177287595090284,21,33,0.2727272727272727,0.2426470588235294
late,1,3,0.5668269501517628,96,33,0.7575757575757576,0.09792284866468842
late,1,1,0.5081785080859793,122,33,0.7878787878787878,0.39759036144578314
late,2,13,0.24935509648246057,136,33,0.15151515151515152,0.12840466926070038
late,12,12,0.5119780404747395,11,32,0.46875,0.34782608695652173
late,13,13,0.21001232418066149,128,32,0.1875,0.4444444444444444
late,0,1,0.8749191609803488,129,32,0.875,0.7441860465116279
late,2,1,0.5255779666660629,96,31,0.7096774193548387,0.2743362831858407
late,12,12,0.5265304286623165,49,31,0.5161290322580645,0.5081967213114754
late,11,1,0.5448734389980252,129,31,0.6774193548387096,0.34444444444444444
late,1,1,0.5620844249753544,144,31,0.3870967741935484,0.36470588235294116
late,10,1,0.4948501050545344,96,31,0.6774193548387096,0.22142857142857142
late,10,13,0.29942326209965997,64,30,0.2,0.3488372093023256
late,10,12,0.6026440870714104,82,29,0.6206896551724138,0.2283464566929134
late,11,1,0.5962111204150685,21,29,0.6896551724137931,0.5370370370370371
late,6,2,0.4720199550083872,96,29,0.3448275862068966,0.29591836734693877
late,6,6,0.5198040458629297,150,29,0.5517241379310345,0.5918367346938775
late,11,1,0.4922035489610958,70,29,0.7586206896551724,0.3625
late,11,1,0.489297680817823,72,29,0.4482758620689655,0.42028985507246375
late,1,1,0.5919333093871858,153,29,0.6551724137931034,0.42028985507246375
late,5,5,0.5029644367984613,136,29,0.6206896551724138,0.3258426966292135
late,4,5,0.4817884048724225,96,28,0.2857142857142857,0.14432989690721648
late,6,2,0.5002456291119154,136,28,0.5,0.30434782608695654
late,10,13,0.28821753934585603,21,28,0.35714285714285715,0.3373493975903614
late,1,1,0.5012324024183312,72,28,0.5714285714285714,0.28865979381443296
late,1,6,0.5067801517326719,96,27,0.5185185185185185,0.08011869436201781
late,1,1,0.5006402244067076,3,27,0.5925925925925926,0.4576271186440678
late,5,5,0.5204038010248633,144,27,0.4444444444444444,0.5510204081632653
late,6,13,0.22719602078276255,96,27,0.18518518518518517,0.2755102040816326
late,11,13,0.22378086264461286,96,27,0.18518518518518517,0.20930232558139536
late,1,6,0.5203430434368158,136,27,0.5925925925925926,0.08206686930091185
late,1,6,0.4744634833704325,72,26,0.6538461538461539,0.26804123711340205
late,6,3,0.5988275607333746,21,26,0.5,0.19117647058823528
late,1,1,0.5497238659822035,140,26,0.6923076923076923,0.5098039215686274
late,11,1,0.5169434489758501,136,26,0.38461538461538464,0.4482758620689655
late,2,2,0.5148812644119878,69,26,0.4230769230769231,0.7428571428571429
late,4,2,0.5024912763281574,96,25,0.44,0.12886597938144329
late,13,13,0.23242259690303857,21,25,0.24,0.423728813559322
late,1,6,0.5001098291425434,128,25,0.44,0.12135922330097088
late,1,6,0.5443593195168732,21,25,0.4,0.25
late,10,1,0.5117038473366031,128,25,0.4,0.21551724137931033
late,0,1,0.8572460184745324,136,24,0.8333333333333334,0.43636363636363634
late,6,6,0.513119159876664,136,24,0.7916666666666666,0.2608695652173913
late,11,13,0.26869962765103905,129,24,0.16666666666666666,0.26666666666666666
late,1,3,0.5760812778286473,136,24,0.7916666666666666,0.0729483282674772
late,1,1,0.5927136082673664,57,24,0.6666666666666666,0.3380281690140845
late,1,2,0.45965195514407614,70,24,0.5,0.23076923076923078
late,1,13,0.2279878320091775,72,24,0.08333333333333333,0.24742268041237114
late,10,13,0.2158275357161798,72,24,0.125,0.42857142857142855
