phase,A1_actionId,C_actionId,EV,A1_playerId,count,train_winrate,usage_rate
front3,15,1,0.52811909607084,96,242,0.6074380165289256,0.4194107452339688
front3,15,1,0.5173324718413844,136,238,0.47478991596638653,0.39080459770114945
front3,15,1,0.5213054893820606,128,174,0.5632183908045977,0.5631067961165048
front3,15,1,0.5234430930176445,132,108,0.5462962962962963,0.5538461538461539
front3,0,1,0.534558839415566,96,106,0.6132075471698113,0.301994301994302
front3,15,1,0.543753816799002,144,97,0.5670103092783505,0.3991769547325103
front3,15,1,0.4787847025585481,72,94,0.48936170212765956,0.35877862595419846
front3,16,1,0.5494831785090366,21,92,0.4891304347826087,0.2911392405063291
front3,15,10,0.4164522801831926,136,84,0.4523809523809524,0.13793103448275862
front3,15,1,0.5889552021825027,153,84,0.6547619047619048,0.49122807017543857
front3,16,6,0.5322012495063039,21,84,0.4880952380952381,0.26582278481012656
front3,15,1,0.5763842315434576,64,82,0.5853658536585366,0.34893617021276596
front3,0,1,0.4894388119618846,70,80,0.5,0.31620553359683795
front3,15,10,0.46821297527275335,155,78,0.41025641025641024,0.5454545454545454
front3,0,1,0.5444272826604253,128,75,0.52,0.4716981132075472
front3,0,1,0.5340193464026327,136,73,0.5616438356164384,0.31601731601731603
front3,15,6,0.5038923358867056,96,71,0.352112676056338,0.12305025996533796
front3,0,2,0.5235595951667867,96,70,0.4714285714285714,0.19943019943019943
front3,0,1,0.5432789614363085,129,70,0.5571428571428572,0.5263157894736842
front3,15,1,0.5428431223692808,111,69,0.5652173913043478,0.49640287769784175
front3,15,1,0.5657266798950451,101,69,0.5942028985507246,0.2827868852459016
front3,15,2,0.5068603867119941,136,69,0.463768115942029,0.11330049261083744
front3,15,2,0.5170763640802983,96,68,0.4411764705882353,0.11785095320623917
front3,15,1,0.5338520276190193,122,66,0.5757575757575758,0.40993788819875776
front3,15,4,0.5455354335235313,96,61,0.6721311475409836,0.10571923743500866
front3,15,6,0.5582816493268555,64,59,0.5423728813559322,0.251063829787234
front3,15,5,0.48471064759993865,136,55,0.509090909090909,0.090311986863711
front3,15,12,0.4956743615491511,155,50,0.48,0.34965034965034963
front3,15,10,0.5522601020223458,82,50,0.66,0.3816793893129771
front3,0,2,0.5232018079462972,136,50,0.42,0.21645021645021645
front3,0,10,0.44020668776966776,136,49,0.5714285714285714,0.21212121212121213
front3,15,12,0.4898291605236612,11,47,0.5319148936170213,0.3790322580645161
front3,0,1,0.5051340904301068,72,47,0.46808510638297873,0.2974683544303797
front3,15,1,0.44767794166660596,115,47,0.3404255319148936,0.3700787401574803
front3,16,1,0.4879551156791133,136,46,0.5,0.46938775510204084
front3,0,2,0.47952886681761464,70,46,0.5,0.18181818181818182
front3,15,1,0.4976023284008175,70,45,0.6222222222222222,0.371900826446281
front3,15,10,0.42318407625949417,96,45,0.35555555555555557,0.0779896013864818
front3,15,6,0.5032289610958044,136,44,0.6363636363636364,0.0722495894909688
front3,15,13,0.3187168094291928,136,44,0.38636363636363635,0.0722495894909688
front3,15,10,0.43530918724784645,128,43,0.5348837209302325,0.13915857605177995
front3,15,1,0.5211569905396533,150,43,0.627906976744186,0.35537190082644626
front3,15,6,0.5269399620316314,106,42,0.4523809523809524,0.328125
front3,15,11,0.4473544130732379,128,42,0.5,0.13592233009708737
front3,0,6,0.4771474411837289,70,42,0.40476190476190477,0.16600790513833993
front3,15,1,0.5289505213892288,140,41,0.6097560975609756,0.5189873417721519
front3,15,12,0.5772300214625277,82,41,0.6097560975609756,0.31297709923664124
front3,15,10,0.44012029178290907,144,41,0.3170731707317073,0.16872427983539096
front3,15,13,0.3524010960984826,101,39,0.2564102564102564,0.1598360655737705
front3,15,13,0.38200395796178627,153,39,0.358974358974359,0.22807017543859648
front3,15,6,0.5533246063938533,101,37,0.43243243243243246,0.15163934426229508
front3,0,1,0.5234843414639072,133,36,0.4444444444444444,0.23376623376623376
front3,15,6,0.45659289113861723,72,35,0.6,0.13358778625954199
front3,0,10,0.44173764129354925,96,34,0.5588235294117647,0.09686609686609686
front3,15,10,0.36544310610184294,146,33,0.3939393939393939,0.825
front3,17,1,0.5832383870461749,64,33,0.6060606060606061,0.5789473684210527
front3,15,11,0.4006354523467742,72,33,0.36363636363636365,0.12595419847328243
front3,0,2,0.5561574538744504,19,33,0.3939393939393939,0.25190839694656486
front3,15,1,0.5935077407794551,112,32,0.65625,0.3764705882352941
front3,16,1,0.5871440263329895,57,32,0.59375,0.5
front3,15,11,0.44990160883981534,96,32,0.34375,0.05545927209705372
front3,15,1,0.531658253512109,129,32,0.625,0.2807017543859649
front3,15,6,0.516100074226289,122,31,0.5483870967741935,0.19254658385093168
front3,15,6,0.522350534635431,144,31,0.6129032258064516,0.12757201646090535
front3,16,1,0.5152431131127995,96,31,0.5483870967741935,0.5849056603773585
front3,16,10,0.4541837789997838,21,31,0.45161290322580644,0.0981012658227848
front3,0,2,0.5143860974218141,133,31,0.4838709677419355,0.2012987012987013
front3,0,10,0.42301621396969674,133,31,0.4838709677419355,0.2012987012987013
front3,0,10,0.45302777723684545,128,30,0.5333333333333333,0.18867924528301888
front3,15,11,0.4849044474512205,101,29,0.7241379310344828,0.11885245901639344
front3,0,4,0.5539770106158969,96,29,0.6206896551724138,0.08262108262108261
front3,0,12,0.575408445471862,66,29,0.6206896551724138,0.8285714285714286
front3,15,10,0.45928317301965027,101,29,0.6551724137931034,0.11885245901639344
front3,15,7,0.4826713017672224,136,28,0.6428571428571429,0.04597701149425287
front3,16,3,0.5772597761278773,21,28,0.6428571428571429,0.08860759493670886
front3,15,12,0.4257416998635139,37,28,0.39285714285714285,0.2692307692307692
front3,0,13,0.31890260275569765,96,28,0.2857142857142857,0.07977207977207977
front3,15,1,0.482242887442881,3,28,0.39285714285714285,0.6511627906976745
front3,15,10,0.4709486668444408,64,28,0.32142857142857145,0.11914893617021277
front3,16,13,0.3441530346903276,21,27,0.37037037037037035,0.08544303797468354
front3,15,10,0.3839936773999897,105,27,0.4074074074074074,0.6
front3,15,1,0.5710720800174952,11,27,0.5555555555555556,0.21774193548387097
front3,15,11,0.4445985744207392,136,27,0.3333333333333333,0.04433497536945813
front3,0,1,0.4719961941857908,115,27,0.5185185185185185,0.47368421052631576
front3,0,1,0.5169188936819171,39,26,0.5,0.5416666666666666
front3,15,10,0.3716018348721107,32,26,0.4230769230769231,0.7428571428571429
front3,15,1,0.5127492680893103,138,26,0.5769230769230769,0.3561643835616438
front3,15,13,0.3048162156493508,106,26,0.4230769230769231,0.203125
front3,15,1,0.6324037487086814,118,25,0.8,0.4807692307692308
front3,17,1,0.4437063833104907,92,25,0.48,0.4098360655737705
front3,0,11,0.46327543033033924,96,25,0.4,0.07122507122507123
front3,15,1,0.5094445625352908,38,25,0.56,0.5555555555555556
front3,0,1,0.5666988692066518,19,25,0.64,0.19083969465648856
front3,0,6,0.502596810637451,96,25,0.44,0.07122507122507123
front3,17,1,0.5350313726986081,157,24,0.5,0.5454545454545454
front3,15,6,0.45623874416759547,71,24,0.3333333333333333,0.5106382978723404
front3,18,1,0.41920372687812646,3,24,0.375,0.7741935483870968
front3,0,10,0.39581842645481263,70,24,0.375,0.09486166007905138
front3,0,2,0.5255972083898828,69,24,0.5,0.43636363636363634
front3,15,2,0.48786061776580836,70,24,0.375,0.19834710743801653
front3,0,13,0.34277430849689583,129,23,0.34782608695652173,0.17293233082706766
front3,15,6,0.5060011841813247,128,23,0.4782608695652174,0.0744336569579288
front3,0,6,0.4721787633843615,72,23,0.43478260869565216,0.14556962025316456
front3,15,2,0.5132174254281991,132,23,0.391304347826087,0.11794871794871795
front3,15,11,0.46524482393786243,144,23,0.6956521739130435,0.09465020576131687
front3,15,13,0.3305635058672679,96,23,0.21739130434782608,0.03986135181975736
front3,17,1,0.5495970513091263,101,22,0.45454545454545453,0.3333333333333333
front3,16,5,0.5177230238157587,21,22,0.6363636363636364,0.06962025316455696
front3,15,2,0.5555556267703007,101,22,0.5909090909090909,0.09016393442622951
front3,16,1,0.4789848092432985,69,22,0.22727272727272727,0.3728813559322034
front3,15,1,0.614818510748864,12,22,0.6363636363636364,0.5789473684210527
front3,16,1,0.5626906289408563,64,22,0.6363636363636364,0.46808510638297873
front3,15,6,0.492247549391243,138,21,0.42857142857142855,0.2876712328767123
front3,15,2,0.4673068772504969,72,21,0.5714285714285714,0.08015267175572519
front3,15,11,0.37108964409499645,115,21,0.5714285714285714,0.16535433070866143
front3,15,1,0.5085315226838155,157,21,0.38095238095238093,0.27631578947368424
front3,15,1,0.5158311799803326,37,21,0.6666666666666666,0.20192307692307693
front3,15,1,0.5818098935340693,31,21,0.6666666666666666,0.4772727272727273
front3,0,6,0.5059104141291864,133,21,0.7142857142857143,0.13636363636363635
front3,0,13,0.3170549113395166,74,21,0.23809523809523808,0.21212121212121213
front3,18,1,0.5516404929145434,21,21,0.3333333333333333,0.525
front3,0,2,0.5291908124276782,74,21,0.6190476190476191,0.21212121212121213
front3,15,13,0.31981066349624004,144,20,0.35,0.0823045267489712
front3,0,10,0.3627071721897176,94,20,0.35,0.6896551724137931
front3,0,6,0.5642400058279682,43,20,0.3,0.2564102564102564
front3,15,13,0.3645419533466686,64,20,0.35,0.0851063829787234
front3,15,1,0.4523813894688171,86,20,0.55,0.35714285714285715
front3,0,7,0.4894073184002773,96,20,0.45,0.05698005698005698
front3,15,5,0.5435823187948166,64,20,0.4,0.0851063829787234
front3,0,6,0.5429964016098636,19,20,0.6,0.15267175572519084
front3,15,10,0.41669529481638085,150,20,0.2,0.1652892561983471
front3,15,5,0.5053733611468034,144,19,0.5263157894736842,0.07818930041152264
front3,15,10,0.4693187150314173,153,19,0.47368421052631576,0.1111111111111111
front3,15,11,0.47292728704250264,111,19,0.7894736842105263,0.1366906474820144
front3,15,10,0.3692776728627483,2,19,0.47368421052631576,0.6129032258064516
front3,0,2,0.5337194325452834,128,19,0.47368421052631576,0.11949685534591195
front3,0,1,0.5374453181546561,69,19,0.47368421052631576,0.34545454545454546
front3,15,10,0.38365135179765575,156,19,0.42105263157894735,0.37254901960784315
front3,15,1,0.5257505751208896,10,18,0.4444444444444444,0.5294117647058824
front3,15,1,0.4610301450134552,73,18,0.5,0.4186046511627907
front3,15,10,0.4224064579912803,106,18,0.6666666666666666,0.140625
front3,15,4,0.49768701678250443,72,18,0.4444444444444444,0.06870229007633588
front3,15,5,0.44125122080205054,72,18,0.4444444444444444,0.06870229007633588
front3,15,1,0.49842171581549455,81,18,0.4444444444444444,0.3829787234042553
front3,0,2,0.558414625001409,88,18,0.5,0.47368421052631576
front3,0,1,0.5244565995641919,157,18,0.3333333333333333,0.2571428571428571
front3,17,1,0.4812121379486544,48,18,0.5,0.6206896551724138
front3,15,1,0.4532100997592725,110,18,0.7222222222222222,0.5625
front3,15,2,0.5124820234094861,106,17,0.35294117647058826,0.1328125
front3,15,13,0.3220204603246637,150,17,0.4117647058823529,0.14049586776859505
front3,0,1,0.5391267395159423,74,17,0.6470588235294118,0.1717171717171717
front3,15,13,0.2739387633748815,72,17,0.29411764705882354,0.0648854961832061
front3,15,10,0.3778427679996153,72,17,0.23529411764705882,0.0648854961832061
front3,0,10,0.4381099411835144,74,17,0.47058823529411764,0.1717171717171717
front3,0,11,0.4246928604866967,72,17,0.4117647058823529,0.10759493670886076
front3,15,2,0.5199358645746422,129,17,0.7058823529411765,0.14912280701754385
front3,15,1,0.38506585594834203,90,17,0.47058823529411764,0.3695652173913043
front3,15,6,0.49200708478454347,157,17,0.5882352941176471,0.2236842105263158
front3,15,1,0.49077264262813863,107,17,0.4117647058823529,0.425
front3,0,10,0.5279183138162445,155,17,0.6470588235294118,0.5862068965517241
front3,15,2,0.5228359265138046,122,17,0.47058823529411764,0.10559006211180125
front3,0,5,0.5405445105396324,128,17,0.5882352941176471,0.1069182389937107
front3,16,5,0.5588032868923998,57,17,0.35294117647058826,0.265625
front3,15,1,0.49521999986606113,121,17,0.7058823529411765,0.7391304347826086
front3,15,7,0.4838564440268816,96,17,0.35294117647058826,0.029462738301559793
front3,16,7,0.45590247770570713,100,17,0.5294117647058824,0.3953488372093023
front3,0,13,0.36728086127067694,43,17,0.17647058823529413,0.21794871794871795
front3,0,10,0.4839438018549538,111,16,0.375,0.35555555555555557
